
1it [00:00, ?it/s]
3it [00:00, 19.76it/s, bound:0 nc:  1 ncall:5.1e+02 eff:0.6% logz-ratio=-841.65+/-0.12 dlogz:680.341>0.1]
10it [00:00, 48.79it/s, bound:0 nc:  1 ncall:5.2e+02 eff:1.9% logz-ratio=-706.89+/-0.11 dlogz:483.425>0.1]
15it [00:00, 43.79it/s, bound:0 nc:  2 ncall:5.4e+02 eff:2.8% logz-ratio=-679.47+/-0.12 dlogz:458.817>0.1]
20it [00:00, 40.52it/s, bound:0 nc:  2 ncall:5.5e+02 eff:3.6% logz-ratio=-643.75+/-0.12 dlogz:424.033>0.1]
25it [00:00, 37.11it/s, bound:0 nc:  3 ncall:5.7e+02 eff:4.4% logz-ratio=-618.04+/-0.11 dlogz:396.288>0.1]
32it [00:00, 43.88it/s, bound:0 nc:  5 ncall:5.8e+02 eff:5.5% logz-ratio=-602.04+/-0.10 dlogz:377.978>0.1]
37it [00:00, 34.45it/s, bound:0 nc:  3 ncall:6.0e+02 eff:6.1% logz-ratio=-591.66+/-0.11 dlogz:369.930>0.1]
42it [00:01, 37.20it/s, bound:0 nc:  2 ncall:6.2e+02 eff:6.8% logz-ratio=-583.75+/-0.11 dlogz:360.245>0.1]
47it [00:01, 35.58it/s, bound:0 nc:  8 ncall:6.3e+02 eff:7.4% logz-ratio=-574.54+/-0.11 dlogz:350.980>0.1]
53it [00:01, 38.00it/s, bound:0 nc:  7 ncall:6.5e+02 eff:8.2% logz-ratio=-566.72+/-0.10 dlogz:342.560>0.1]
57it [00:01, 30.64it/s, bound:0 nc:  4 ncall:6.7e+02 eff:8.5% logz-ratio=-558.72+/-0.11 dlogz:335.414>0.1]
61it [00:01, 31.99it/s, bound:0 nc:  2 ncall:6.8e+02 eff:8.9% logz-ratio=-550.01+/-0.11 dlogz:326.723>0.1]
67it [00:01, 38.23it/s, bound:0 nc:  2 ncall:7.0e+02 eff:9.6% logz-ratio=-536.40+/-0.12 dlogz:316.006>0.1]
72it [00:01, 31.92it/s, bound:0 nc:  8 ncall:7.2e+02 eff:10.0% logz-ratio=-528.74+/-0.10 dlogz:304.364>0.1]
77it [00:02, 33.20it/s, bound:0 nc:  6 ncall:7.3e+02 eff:10.5% logz-ratio=-525.40+/-0.10 dlogz:301.088>0.1]
82it [00:02, 36.17it/s, bound:0 nc:  1 ncall:7.5e+02 eff:11.0% logz-ratio=-516.75+/-0.11 dlogz:293.300>0.1]
86it [00:02, 30.05it/s, bound:0 nc:  4 ncall:7.7e+02 eff:11.2% logz-ratio=-511.97+/-0.10 dlogz:287.961>0.1]
90it [00:02, 31.57it/s, bound:0 nc:  2 ncall:7.8e+02 eff:11.5% logz-ratio=-506.97+/-0.11 dlogz:284.407>0.1]
97it [00:02, 34.02it/s, bound:0 nc: 10 ncall:8.0e+02 eff:12.1% logz-ratio=-501.91+/-0.10 dlogz:277.792>0.1]
101it [00:02, 35.30it/s, bound:0 nc:  1 ncall:8.1e+02 eff:12.5% logz-ratio=-499.03+/-0.10 dlogz:274.979>0.1]
105it [00:02, 34.91it/s, bound:0 nc:  1 ncall:8.2e+02 eff:12.7% logz-ratio=-495.52+/-0.11 dlogz:271.768>0.1]
111it [00:03, 38.47it/s, bound:0 nc:  5 ncall:8.4e+02 eff:13.2% logz-ratio=-492.49+/-0.10 dlogz:267.935>0.1]
115it [00:03, 32.73it/s, bound:0 nc:  2 ncall:8.6e+02 eff:13.4% logz-ratio=-489.53+/-0.11 dlogz:265.973>0.1]
119it [00:03, 34.27it/s, bound:0 nc:  2 ncall:8.7e+02 eff:13.7% logz-ratio=-487.31+/-0.10 dlogz:262.761>0.1]
124it [00:03, 38.03it/s, bound:0 nc:  4 ncall:8.8e+02 eff:14.1% logz-ratio=-485.72+/-0.10 dlogz:261.286>0.1]
128it [00:03, 31.19it/s, bound:0 nc:  1 ncall:9.0e+02 eff:14.2% logz-ratio=-483.87+/-0.10 dlogz:259.278>0.1]
