
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  8 ncall:5.1e+02 eff:0.2% logz-ratio=-875.02+/-0.12 dlogz:inf>0.1]
4it [00:00, 22.91it/s, bound:0 nc:  2 ncall:5.2e+02 eff:0.8% logz-ratio=-664.80+/-0.12 dlogz:465.945>0.1]
7it [00:00, 22.68it/s, bound:0 nc:  3 ncall:5.2e+02 eff:1.3% logz-ratio=-632.38+/-0.12 dlogz:438.800>0.1]
10it [00:00, 24.14it/s, bound:0 nc:  2 ncall:5.3e+02 eff:1.9% logz-ratio=-587.76+/-0.12 dlogz:406.275>0.1]
15it [00:00, 19.11it/s, bound:0 nc: 13 ncall:5.5e+02 eff:2.7% logz-ratio=-563.76+/-0.12 dlogz:368.023>0.1]
18it [00:01, 13.39it/s, bound:0 nc: 18 ncall:5.7e+02 eff:3.1% logz-ratio=-551.15+/-0.12 dlogz:350.447>0.1]
21it [00:01, 15.73it/s, bound:0 nc:  2 ncall:5.8e+02 eff:3.6% logz-ratio=-544.74+/-0.11 dlogz:341.471>0.1]
24it [00:01, 17.89it/s, bound:0 nc:  4 ncall:5.9e+02 eff:4.1% logz-ratio=-535.29+/-0.12 dlogz:334.016>0.1]
28it [00:01, 21.08it/s, bound:0 nc:  2 ncall:6.0e+02 eff:4.7% logz-ratio=-515.29+/-0.11 dlogz:312.809>0.1]
32it [00:01, 22.12it/s, bound:0 nc:  5 ncall:6.0e+02 eff:5.3% logz-ratio=-510.92+/-0.10 dlogz:307.511>0.1]
35it [00:01, 23.09it/s, bound:0 nc:  1 ncall:6.1e+02 eff:5.7% logz-ratio=-509.10+/-0.10 dlogz:305.157>0.1]
38it [00:02, 20.87it/s, bound:0 nc:  1 ncall:6.2e+02 eff:6.1% logz-ratio=-504.78+/-0.10 dlogz:301.036>0.1]
41it [00:02, 20.10it/s, bound:0 nc:  6 ncall:6.3e+02 eff:6.5% logz-ratio=-502.17+/-0.10 dlogz:298.152>0.1]
44it [00:02, 18.14it/s, bound:0 nc:  5 ncall:6.4e+02 eff:6.8% logz-ratio=-499.33+/-0.10 dlogz:295.719>0.1]
47it [00:02, 19.87it/s, bound:0 nc:  5 ncall:6.5e+02 eff:7.2% logz-ratio=-497.91+/-0.10 dlogz:293.787>0.1]
50it [00:02, 21.36it/s, bound:0 nc:  1 ncall:6.6e+02 eff:7.6% logz-ratio=-495.20+/-0.10 dlogz:291.461>0.1]
55it [00:02, 27.00it/s, bound:0 nc:  2 ncall:6.7e+02 eff:8.3% logz-ratio=-485.89+/-0.11 dlogz:282.929>0.1]
60it [00:02, 31.37it/s, bound:0 nc:  2 ncall:6.7e+02 eff:8.9% logz-ratio=-478.78+/-0.11 dlogz:275.175>0.1]
64it [00:03, 27.95it/s, bound:0 nc:  1 ncall:6.8e+02 eff:9.4% logz-ratio=-469.43+/-0.12 dlogz:267.909>0.1]
68it [00:03, 29.69it/s, bound:0 nc:  2 ncall:6.9e+02 eff:9.8% logz-ratio=-461.60+/-0.10 dlogz:257.711>0.1]
