
1it [00:00, ?it/s]
5it [00:00, 32.37it/s, bound:0 nc:  1 ncall:5.2e+02 eff:1.0% logz-ratio=-752.15+/-0.12 dlogz:477.622>0.1]
10it [00:00, 36.82it/s, bound:0 nc:  5 ncall:5.5e+02 eff:1.8% logz-ratio=-678.96+/-0.12 dlogz:402.748>0.1]
14it [00:00, 37.82it/s, bound:0 nc: 12 ncall:5.7e+02 eff:2.5% logz-ratio=-644.81+/-0.11 dlogz:364.018>0.1]
19it [00:00, 39.02it/s, bound:0 nc:  3 ncall:5.8e+02 eff:3.3% logz-ratio=-605.80+/-0.11 dlogz:326.003>0.1]
23it [00:00, 38.37it/s, bound:0 nc:  7 ncall:6.2e+02 eff:3.7% logz-ratio=-597.24+/-0.11 dlogz:316.499>0.1]
27it [00:00, 38.47it/s, bound:0 nc: 10 ncall:6.4e+02 eff:4.2% logz-ratio=-589.17+/-0.10 dlogz:307.883>0.1]
32it [00:00, 39.19it/s, bound:0 nc:  7 ncall:6.6e+02 eff:4.8% logz-ratio=-573.04+/-0.11 dlogz:292.084>0.1]
36it [00:00, 38.82it/s, bound:0 nc: 15 ncall:7.0e+02 eff:5.1% logz-ratio=-567.05+/-0.11 dlogz:287.156>0.1]
40it [00:01, 36.09it/s, bound:0 nc:  2 ncall:7.3e+02 eff:5.5% logz-ratio=-562.39+/-0.10 dlogz:281.205>0.1]
44it [00:01, 32.37it/s, bound:0 nc: 16 ncall:7.8e+02 eff:5.7% logz-ratio=-554.50+/-0.12 dlogz:275.752>0.1]
48it [00:01, 32.26it/s, bound:0 nc: 19 ncall:8.0e+02 eff:6.0% logz-ratio=-549.48+/-0.11 dlogz:269.579>0.1]
52it [00:01, 28.42it/s, bound:0 nc:  3 ncall:8.6e+02 eff:6.0% logz-ratio=-544.63+/-0.11 dlogz:264.029>0.1]
56it [00:01, 30.53it/s, bound:0 nc:  2 ncall:9.1e+02 eff:6.2% logz-ratio=-539.46+/-0.11 dlogz:258.677>0.1]
60it [00:01, 32.64it/s, bound:0 nc: 20 ncall:9.3e+02 eff:6.4% logz-ratio=-535.79+/-0.10 dlogz:254.274>0.1]
64it [00:01, 32.63it/s, bound:0 nc:  7 ncall:9.5e+02 eff:6.7% logz-ratio=-532.69+/-0.10 dlogz:251.093>0.1]
69it [00:01, 34.93it/s, bound:0 nc: 11 ncall:9.8e+02 eff:7.0% logz-ratio=-528.93+/-0.10 dlogz:247.679>0.1]
69it [00:20, 34.93it/s, bound:0 nc: 11 ncall:9.8e+02 eff:7.0% logz-ratio=-528.93+/-0.10 dlogz:247.679>0.1]
70it [00:25,  2.16s/it, bound:1 nc: 67 ncall:1.0e+03 eff:6.7% logz-ratio=-528.26+/-0.10 dlogz:246.752>0.1]
92it [00:48,  1.33s/it, bound:2 nc: 48 ncall:2.1e+03 eff:4.4% logz-ratio=-506.88+/-0.11 dlogz:227.279>0.1]
116it [01:03,  1.05it/s, bound:4 nc: 42 ncall:3.1e+03 eff:3.7% logz-ratio=-493.39+/-0.10 dlogz:212.952>0.1]
139it [01:33,  1.11s/it, bound:5 nc: 28 ncall:3.8e+03 eff:3.7% logz-ratio=-479.58+/-0.10 dlogz:198.918>0.1]
161it [02:05,  1.23s/it, bound:7 nc: 62 ncall:5.1e+03 eff:3.1% logz-ratio=-467.20+/-0.10 dlogz:186.796>0.1]
185it [02:27,  1.13s/it, bound:9 nc: 59 ncall:6.5e+03 eff:2.8% logz-ratio=-455.87+/-0.10 dlogz:175.250>0.1]
208it [02:44,  1.01it/s, bound:11 nc: 33 ncall:7.5e+03 eff:2.8% logz-ratio=-447.81+/-0.10 dlogz:167.209>0.1]
231it [03:05,  1.04it/s, bound:12 nc: 33 ncall:8.3e+03 eff:2.8% logz-ratio=-440.40+/-0.10 dlogz:159.695>0.1]
255it [03:32,  1.02s/it, bound:14 nc: 42 ncall:9.3e+03 eff:2.8% logz-ratio=-433.39+/-0.09 dlogz:152.436>0.1]
280it [04:16,  1.26s/it, bound:16 nc: 88 ncall:1.1e+04 eff:2.7% logz-ratio=-426.66+/-0.10 dlogz:145.790>0.1]
303it [04:40,  1.19s/it, bound:19 nc: 88 ncall:1.3e+04 eff:2.4% logz-ratio=-420.93+/-0.09 dlogz:139.917>0.1]
327it [05:05,  1.14s/it, bound:21 nc: 44 ncall:1.4e+04 eff:2.4% logz-ratio=-413.24+/-0.10 dlogz:132.172>0.1]
351it [05:30,  1.11s/it, bound:23 nc: 51 ncall:1.5e+04 eff:2.4% logz-ratio=-407.92+/-0.09 dlogz:126.747>0.1]
357it [05:30,  1.00s/it, bound:23 nc: 51 ncall:1.5e+04 eff:2.4% logz-ratio=-406.68+/-0.04 dlogz:125.595>0.1]
374it [05:50,  1.00s/it, bound:25 nc: 51 ncall:1.6e+04 eff:2.3% logz-ratio=-403.25+/-0.09 dlogz:122.168>0.1]
375it [05:52,  1.07s/it, bound:25 nc: 51 ncall:1.6e+04 eff:2.3% logz-ratio=-402.94+/-0.09 dlogz:121.884>0.1]
397it [06:14,  1.05s/it, bound:26 nc: 45 ncall:1.7e+04 eff:2.3% logz-ratio=-397.32+/-0.09 dlogz:121.187>0.1]
421it [06:43,  1.11s/it, bound:28 nc: 43 ncall:1.8e+04 eff:2.3% logz-ratio=-392.91+/-0.09 dlogz:116.743>0.1]
444it [07:10,  1.13s/it, bound:30 nc: 57 ncall:1.9e+04 eff:2.3% logz-ratio=-389.54+/-0.09 dlogz:113.292>0.1]
466it [08:09,  1.61s/it, bound:32 nc: 49 ncall:2.0e+04 eff:2.3% logz-ratio=-386.17+/-0.09 dlogz:109.862>0.1]
