
1it [00:00, ?it/s]
3it [00:00, 16.55it/s, bound:0 nc:  7 ncall:5.2e+02 eff:0.6% logz-ratio=-755.31+/-0.12 dlogz:500.736>0.1]
6it [00:00, 22.21it/s, bound:0 nc:  2 ncall:5.3e+02 eff:1.1% logz-ratio=-715.48+/-0.12 dlogz:447.837>0.1]
9it [00:00, 23.76it/s, bound:0 nc:  2 ncall:5.5e+02 eff:1.6% logz-ratio=-696.09+/-0.12 dlogz:431.572>0.1]
12it [00:00, 20.80it/s, bound:0 nc: 14 ncall:6.2e+02 eff:1.9% logz-ratio=-681.91+/-0.12 dlogz:407.922>0.1]
15it [00:00, 22.39it/s, bound:0 nc: 11 ncall:6.4e+02 eff:2.3% logz-ratio=-663.11+/-0.11 dlogz:388.012>0.1]
18it [00:00, 23.55it/s, bound:0 nc:  3 ncall:6.5e+02 eff:2.8% logz-ratio=-637.04+/-0.12 dlogz:370.992>0.1]
21it [00:00, 24.38it/s, bound:0 nc:  5 ncall:6.6e+02 eff:3.2% logz-ratio=-630.15+/-0.11 dlogz:354.389>0.1]
24it [00:00, 24.94it/s, bound:0 nc:  5 ncall:6.7e+02 eff:3.6% logz-ratio=-615.75+/-0.12 dlogz:348.799>0.1]
27it [00:01, 25.33it/s, bound:0 nc:  3 ncall:6.9e+02 eff:3.9% logz-ratio=-604.21+/-0.12 dlogz:332.917>0.1]
30it [00:01, 25.54it/s, bound:0 nc:  5 ncall:7.0e+02 eff:4.3% logz-ratio=-601.21+/-0.11 dlogz:325.001>0.1]
33it [00:01, 25.47it/s, bound:0 nc: 16 ncall:7.2e+02 eff:4.6% logz-ratio=-593.12+/-0.11 dlogz:317.270>0.1]
36it [00:01, 25.57it/s, bound:0 nc:  1 ncall:7.4e+02 eff:4.9% logz-ratio=-590.35+/-0.10 dlogz:313.422>0.1]
39it [00:01, 25.41it/s, bound:0 nc: 16 ncall:7.7e+02 eff:5.1% logz-ratio=-582.90+/-0.12 dlogz:310.227>0.1]
42it [00:01, 22.74it/s, bound:0 nc: 20 ncall:8.3e+02 eff:5.1% logz-ratio=-568.72+/-0.12 dlogz:295.103>0.1]
45it [00:01, 22.56it/s, bound:0 nc: 20 ncall:9.1e+02 eff:5.0% logz-ratio=-565.65+/-0.10 dlogz:288.768>0.1]
48it [00:01, 23.10it/s, bound:0 nc:  2 ncall:9.5e+02 eff:5.1% logz-ratio=-564.15+/-0.10 dlogz:287.222>0.1]
51it [00:02, 23.79it/s, bound:0 nc:  6 ncall:9.7e+02 eff:5.3% logz-ratio=-560.08+/-0.11 dlogz:283.681>0.1]
