
1it [00:00, ?it/s]
4it [00:00, 25.00it/s, bound:0 nc:  1 ncall:5.0e+02 eff:0.8% logz-ratio=-656.10+/-0.12 dlogz:468.829>0.1]
8it [00:00, 30.05it/s, bound:0 nc:  1 ncall:5.1e+02 eff:1.6% logz-ratio=-620.07+/-0.12 dlogz:427.578>0.1]
12it [00:00, 31.72it/s, bound:0 nc:  1 ncall:5.1e+02 eff:2.3% logz-ratio=-607.81+/-0.12 dlogz:420.031>0.1]
16it [00:00, 29.59it/s, bound:0 nc:  1 ncall:5.2e+02 eff:3.1% logz-ratio=-581.28+/-0.12 dlogz:389.098>0.1]
20it [00:00, 30.99it/s, bound:0 nc:  1 ncall:5.2e+02 eff:3.8% logz-ratio=-568.40+/-0.12 dlogz:376.885>0.1]
24it [00:00, 31.85it/s, bound:0 nc:  1 ncall:5.2e+02 eff:4.6% logz-ratio=-550.45+/-0.12 dlogz:357.942>0.1]
28it [00:00, 32.45it/s, bound:0 nc:  1 ncall:5.3e+02 eff:5.3% logz-ratio=-546.51+/-0.10 dlogz:351.077>0.1]
32it [00:00, 32.33it/s, bound:0 nc:  1 ncall:5.3e+02 eff:6.0% logz-ratio=-532.87+/-0.11 dlogz:339.120>0.1]
36it [00:01, 32.68it/s, bound:0 nc:  1 ncall:5.4e+02 eff:6.7% logz-ratio=-516.03+/-0.12 dlogz:327.773>0.1]
40it [00:01, 32.94it/s, bound:0 nc:  1 ncall:5.4e+02 eff:7.4% logz-ratio=-504.68+/-0.11 dlogz:309.429>0.1]
44it [00:01, 33.16it/s, bound:0 nc:  1 ncall:5.4e+02 eff:8.1% logz-ratio=-485.40+/-0.12 dlogz:299.524>0.1]
48it [00:01, 30.87it/s, bound:0 nc:  1 ncall:5.5e+02 eff:8.7% logz-ratio=-472.91+/-0.12 dlogz:279.778>0.1]
52it [00:01, 31.66it/s, bound:0 nc:  1 ncall:5.5e+02 eff:9.4% logz-ratio=-468.38+/-0.11 dlogz:272.896>0.1]
56it [00:01, 32.23it/s, bound:0 nc:  1 ncall:5.6e+02 eff:10.0% logz-ratio=-465.70+/-0.10 dlogz:269.688>0.1]
60it [00:01, 30.45it/s, bound:0 nc:  1 ncall:5.6e+02 eff:10.7% logz-ratio=-459.37+/-0.10 dlogz:263.317>0.1]
64it [00:02, 29.33it/s, bound:0 nc:  1 ncall:5.7e+02 eff:11.3% logz-ratio=-445.16+/-0.11 dlogz:249.978>0.1]
68it [00:02, 30.48it/s, bound:0 nc:  1 ncall:5.7e+02 eff:11.9% logz-ratio=-439.92+/-0.11 dlogz:245.250>0.1]
72it [00:02, 31.36it/s, bound:0 nc:  1 ncall:5.8e+02 eff:12.5% logz-ratio=-435.16+/-0.10 dlogz:239.215>0.1]
76it [00:02, 29.93it/s, bound:0 nc:  1 ncall:5.8e+02 eff:13.1% logz-ratio=-431.92+/-0.10 dlogz:236.030>0.1]
80it [00:02, 28.99it/s, bound:0 nc:  2 ncall:5.9e+02 eff:13.7% logz-ratio=-429.35+/-0.10 dlogz:233.200>0.1]
84it [00:02, 30.29it/s, bound:0 nc:  1 ncall:5.9e+02 eff:14.2% logz-ratio=-427.42+/-0.10 dlogz:231.191>0.1]
88it [00:02, 31.23it/s, bound:0 nc:  1 ncall:5.9e+02 eff:14.8% logz-ratio=-425.29+/-0.10 dlogz:229.169>0.1]
92it [00:02, 31.93it/s, bound:0 nc:  1 ncall:6.0e+02 eff:15.4% logz-ratio=-423.56+/-0.10 dlogz:227.361>0.1]
96it [00:03, 28.37it/s, bound:0 nc:  2 ncall:6.0e+02 eff:15.9% logz-ratio=-420.73+/-0.10 dlogz:224.697>0.1]
100it [00:03, 29.77it/s, bound:0 nc:  1 ncall:6.1e+02 eff:16.4% logz-ratio=-414.77+/-0.10 dlogz:218.786>0.1]
104it [00:03, 27.16it/s, bound:0 nc:  1 ncall:6.1e+02 eff:16.9% logz-ratio=-412.83+/-0.10 dlogz:216.567>0.1]
