
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  6 ncall:5.1e+02 eff:0.2% logz-ratio=-798.39+/-0.12 dlogz:inf>0.1]
2it [00:00,  2.91it/s, bound:0 nc: 14 ncall:5.2e+02 eff:0.4% logz-ratio=-771.98+/-0.12 dlogz:583.275>0.1]
3it [00:01,  1.79it/s, bound:0 nc: 29 ncall:5.5e+02 eff:0.5% logz-ratio=-763.72+/-0.12 dlogz:556.864>0.1]
4it [00:01,  1.78it/s, bound:0 nc: 23 ncall:5.7e+02 eff:0.7% logz-ratio=-749.26+/-0.12 dlogz:548.597>0.1]
5it [00:02,  1.64it/s, bound:0 nc: 28 ncall:6.0e+02 eff:0.8% logz-ratio=-746.30+/-0.11 dlogz:534.140>0.1]
7it [00:02,  2.40it/s, bound:0 nc: 17 ncall:6.2e+02 eff:1.1% logz-ratio=-741.53+/-0.11 dlogz:528.246>0.1]
8it [00:04,  1.49it/s, bound:0 nc: 55 ncall:6.8e+02 eff:1.2% logz-ratio=-722.61+/-0.12 dlogz:526.401>0.1]
9it [00:05,  1.19it/s, bound:0 nc: 52 ncall:7.3e+02 eff:1.2% logz-ratio=-717.10+/-0.12 dlogz:507.480>0.1]
11it [00:07,  1.09it/s, bound:0 nc: 79 ncall:8.1e+02 eff:1.4% logz-ratio=-696.86+/-0.12 dlogz:499.325>0.1]
12it [00:07,  1.30it/s, bound:0 nc: 12 ncall:8.2e+02 eff:1.5% logz-ratio=-692.68+/-0.12 dlogz:481.726>0.1]
13it [00:08,  1.50it/s, bound:0 nc: 15 ncall:8.4e+02 eff:1.6% logz-ratio=-691.49+/-0.11 dlogz:477.539>0.1]
14it [00:08,  1.90it/s, bound:0 nc:  6 ncall:8.4e+02 eff:1.7% logz-ratio=-689.23+/-0.11 dlogz:476.351>0.1]
16it [00:08,  2.77it/s, bound:0 nc:  9 ncall:8.6e+02 eff:1.9% logz-ratio=-675.16+/-0.12 dlogz:472.397>0.1]
17it [00:08,  2.94it/s, bound:0 nc: 11 ncall:8.7e+02 eff:2.0% logz-ratio=-668.24+/-0.12 dlogz:460.013>0.1]
18it [00:09,  2.94it/s, bound:0 nc: 14 ncall:8.8e+02 eff:2.0% logz-ratio=-652.60+/-0.12 dlogz:453.094>0.1]
19it [00:09,  3.18it/s, bound:0 nc: 10 ncall:8.9e+02 eff:2.1% logz-ratio=-650.76+/-0.11 dlogz:437.446>0.1]
20it [00:09,  3.46it/s, bound:0 nc:  9 ncall:9.0e+02 eff:2.2% logz-ratio=-646.12+/-0.12 dlogz:435.602>0.1]
21it [00:09,  3.91it/s, bound:0 nc:  7 ncall:9.1e+02 eff:2.3% logz-ratio=-644.46+/-0.11 dlogz:430.965>0.1]
22it [00:10,  2.79it/s, bound:0 nc: 25 ncall:9.3e+02 eff:2.4% logz-ratio=-641.62+/-0.11 dlogz:429.300>0.1]
23it [00:11,  2.44it/s, bound:0 nc: 22 ncall:9.5e+02 eff:2.4% logz-ratio=-637.59+/-0.12 dlogz:426.458>0.1]
24it [00:11,  2.82it/s, bound:0 nc:  9 ncall:9.6e+02 eff:2.5% logz-ratio=-636.18+/-0.11 dlogz:422.431>0.1]
25it [00:11,  3.41it/s, bound:0 nc:  6 ncall:9.7e+02 eff:2.6% logz-ratio=-631.70+/-0.12 dlogz:421.014>0.1]
26it [00:11,  2.73it/s, bound:0 nc: 22 ncall:9.9e+02 eff:2.6% logz-ratio=-628.04+/-0.12 dlogz:416.539>0.1]
27it [00:12,  3.25it/s, bound:0 nc:  7 ncall:1.0e+03 eff:2.7% logz-ratio=-624.97+/-0.11 dlogz:412.874>0.1]
28it [00:45, 10.13s/it, bound:1 nc: 56 ncall:1.1e+03 eff:2.7% logz-ratio=-621.11+/-0.12 dlogz:409.799>0.1]
51it [01:12,  2.00s/it, bound:3 nc: 53 ncall:2.3e+03 eff:2.2% logz-ratio=-574.82+/-0.11 dlogz:361.092>0.1]
66it [01:12,  1.09s/it, bound:4 nc:  1 ncall:3.4e+03 eff:18.5% logz-ratio=-271.14+/-0.17 dlogz:52.898>0.1]
74it [01:30,  1.09s/it, bound:4 nc: 44 ncall:3.3e+03 eff:2.3% logz-ratio=-530.86+/-0.11 dlogz:316.603>0.1]
75it [01:32,  1.42s/it, bound:4 nc: 44 ncall:3.3e+03 eff:2.3% logz-ratio=-529.66+/-0.11 dlogz:315.596>0.1]
99it [02:21,  1.72s/it, bound:6 nc: 33 ncall:4.1e+03 eff:2.4% logz-ratio=-508.63+/-0.10 dlogz:293.727>0.1]
115it [02:21,  1.16s/it, bound:8 nc:  1 ncall:5.8e+03 eff:11.0% logz-ratio=-269.80+/-0.13 dlogz:51.457>0.1]
120it [02:40,  1.16s/it, bound:8 nc: 78 ncall:5.8e+03 eff:2.1% logz-ratio=-490.52+/-0.10 dlogz:275.589>0.1]
121it [02:42,  1.51s/it, bound:8 nc: 78 ncall:5.8e+03 eff:2.1% logz-ratio=-490.13+/-0.10 dlogz:275.165>0.1]
144it [03:06,  1.30s/it, bound:10 nc: 33 ncall:6.6e+03 eff:2.2% logz-ratio=-476.61+/-0.10 dlogz:261.713>0.1]
167it [03:26,  1.14s/it, bound:11 nc: 39 ncall:7.5e+03 eff:2.2% logz-ratio=-463.57+/-0.11 dlogz:249.083>0.1]
177it [03:26,  1.09it/s, bound:12 nc: 33 ncall:7.8e+03 eff:2.3% logz-ratio=-459.61+/-0.05 dlogz:244.449>0.1]
189it [03:40,  1.09it/s, bound:12 nc: 33 ncall:8.2e+03 eff:2.3% logz-ratio=-453.54+/-0.10 dlogz:238.418>0.1]
190it [03:54,  1.23s/it, bound:12 nc: 33 ncall:8.3e+03 eff:2.3% logz-ratio=-453.26+/-0.10 dlogz:238.049>0.1]
213it [04:18,  1.17s/it, bound:14 nc: 44 ncall:9.3e+03 eff:2.3% logz-ratio=-442.00+/-0.10 dlogz:227.109>0.1]
238it [04:44,  1.12s/it, bound:15 nc: 42 ncall:1.0e+04 eff:2.3% logz-ratio=-430.60+/-0.10 dlogz:215.689>0.1]
239it [04:54,  1.31s/it, bound:16 nc: 42 ncall:1.0e+04 eff:2.3% logz-ratio=-430.14+/-0.06 dlogz:215.014>0.1]
259it [05:10,  1.31s/it, bound:17 nc: 42 ncall:1.1e+04 eff:2.3% logz-ratio=-420.72+/-0.10 dlogz:205.488>0.1]
260it [05:37,  1.60s/it, bound:17 nc: 42 ncall:1.1e+04 eff:2.3% logz-ratio=-420.30+/-0.10 dlogz:205.088>0.1]
281it [05:37,  1.03s/it, bound:19 nc:  1 ncall:1.3e+04 eff:6.0% logz-ratio=-267.01+/-0.12 dlogz:48.515>0.1] 
283it [05:50,  1.03s/it, bound:20 nc: 70 ncall:1.3e+04 eff:2.2% logz-ratio=-412.89+/-0.05 dlogz:197.434>0.1]
284it [06:04,  1.56s/it, bound:20 nc: 70 ncall:1.3e+04 eff:2.2% logz-ratio=-412.68+/-0.06 dlogz:197.208>0.1]
308it [06:26,  1.28s/it, bound:21 nc: 43 ncall:1.4e+04 eff:2.2% logz-ratio=-404.48+/-0.10 dlogz:188.987>0.1]
331it [07:00,  1.35s/it, bound:23 nc: 36 ncall:1.5e+04 eff:2.3% logz-ratio=-397.81+/-0.09 dlogz:182.232>0.1]
338it [07:00,  1.16s/it, bound:23 nc: 55 ncall:1.5e+04 eff:2.2% logz-ratio=-394.86+/-0.06 dlogz:179.536>0.1]
