
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc: 19 ncall:5.2e+02 eff:0.2% logz-ratio=-948.99+/-0.12 dlogz:inf>0.1]
2it [00:00,  2.56it/s, bound:0 nc: 42 ncall:5.6e+02 eff:0.4% logz-ratio=-835.22+/-0.12 dlogz:726.389>0.1]
3it [00:00,  2.99it/s, bound:0 nc: 32 ncall:5.9e+02 eff:0.5% logz-ratio=-774.97+/-0.12 dlogz:612.617>0.1]
4it [00:01,  3.64it/s, bound:0 nc: 22 ncall:6.2e+02 eff:0.7% logz-ratio=-756.18+/-0.12 dlogz:552.362>0.1]
5it [00:01,  4.12it/s, bound:0 nc: 21 ncall:6.4e+02 eff:0.8% logz-ratio=-741.96+/-0.12 dlogz:533.572>0.1]
6it [00:01,  3.43it/s, bound:0 nc: 41 ncall:6.8e+02 eff:0.9% logz-ratio=-734.25+/-0.12 dlogz:519.351>0.1]
9it [00:01,  6.46it/s, bound:0 nc: 19 ncall:7.0e+02 eff:1.3% logz-ratio=-711.42+/-0.12 dlogz:492.882>0.1]
10it [00:02,  6.27it/s, bound:0 nc: 19 ncall:7.2e+02 eff:1.4% logz-ratio=-688.78+/-0.12 dlogz:488.802>0.1]
11it [00:03,  2.54it/s, bound:0 nc:122 ncall:8.4e+02 eff:1.3% logz-ratio=-681.25+/-0.12 dlogz:466.164>0.1]
12it [00:03,  2.82it/s, bound:0 nc: 26 ncall:8.6e+02 eff:1.4% logz-ratio=-679.46+/-0.11 dlogz:458.633>0.1]
13it [00:03,  3.26it/s, bound:0 nc: 19 ncall:8.8e+02 eff:1.5% logz-ratio=-671.91+/-0.12 dlogz:456.840>0.1]
14it [00:03,  3.70it/s, bound:0 nc: 19 ncall:9.0e+02 eff:1.6% logz-ratio=-668.63+/-0.11 dlogz:449.284>0.1]
15it [00:04,  2.77it/s, bound:0 nc: 64 ncall:9.7e+02 eff:1.6% logz-ratio=-661.41+/-0.12 dlogz:446.006>0.1]
17it [00:11,  1.81s/it, bound:1 nc: 56 ncall:1.0e+03 eff:1.7% logz-ratio=-637.15+/-0.11 dlogz:415.701>0.1]
40it [00:20,  1.84it/s, bound:2 nc: 28 ncall:1.7e+03 eff:2.4% logz-ratio=-572.28+/-0.12 dlogz:352.733>0.1]
64it [00:28,  2.25it/s, bound:3 nc: 35 ncall:2.5e+03 eff:2.5% logz-ratio=-535.63+/-0.11 dlogz:314.462>0.1]
86it [00:36,  2.47it/s, bound:4 nc: 36 ncall:3.3e+03 eff:2.6% logz-ratio=-517.87+/-0.09 dlogz:295.360>0.1]
110it [00:46,  2.43it/s, bound:5 nc: 30 ncall:4.0e+03 eff:2.7% logz-ratio=-494.23+/-0.11 dlogz:273.514>0.1]
134it [00:56,  2.46it/s, bound:7 nc: 41 ncall:5.0e+03 eff:2.7% logz-ratio=-479.42+/-0.11 dlogz:257.605>0.1]
157it [01:07,  2.30it/s, bound:8 nc: 38 ncall:5.9e+03 eff:2.7% logz-ratio=-467.41+/-0.10 dlogz:245.140>0.1]
181it [01:16,  2.43it/s, bound:10 nc: 45 ncall:7.0e+03 eff:2.6% logz-ratio=-453.96+/-0.10 dlogz:231.433>0.1]
204it [01:23,  2.64it/s, bound:11 nc: 34 ncall:7.7e+03 eff:2.6% logz-ratio=-442.42+/-0.10 dlogz:219.992>0.1]
225it [01:36,  2.24it/s, bound:12 nc: 29 ncall:8.4e+03 eff:2.7% logz-ratio=-431.10+/-0.10 dlogz:208.412>0.1]
248it [01:53,  1.85it/s, bound:14 nc: 52 ncall:9.5e+03 eff:2.6% logz-ratio=-421.15+/-0.10 dlogz:198.356>0.1]
272it [02:08,  1.76it/s, bound:17 nc: 68 ncall:1.1e+04 eff:2.4% logz-ratio=-414.32+/-0.09 dlogz:191.372>0.1]
296it [02:17,  1.97it/s, bound:19 nc: 60 ncall:1.3e+04 eff:2.3% logz-ratio=-406.30+/-0.10 dlogz:183.633>0.1]
320it [02:30,  1.95it/s, bound:21 nc: 36 ncall:1.3e+04 eff:2.4% logz-ratio=-397.10+/-0.10 dlogz:174.067>0.1]
344it [02:39,  2.10it/s, bound:23 nc: 36 ncall:1.5e+04 eff:2.3% logz-ratio=-391.70+/-0.10 dlogz:168.633>0.1]
368it [02:50,  2.11it/s, bound:24 nc: 36 ncall:1.6e+04 eff:2.4% logz-ratio=-387.30+/-0.09 dlogz:164.123>0.1]
393it [03:01,  2.19it/s, bound:26 nc: 41 ncall:1.7e+04 eff:2.4% logz-ratio=-380.22+/-0.10 dlogz:157.229>0.1]
415it [03:18,  1.83it/s, bound:27 nc: 41 ncall:1.8e+04 eff:2.4% logz-ratio=-373.15+/-0.09 dlogz:149.828>0.1]
439it [03:34,  1.72it/s, bound:30 nc: 66 ncall:1.9e+04 eff:2.3% logz-ratio=-369.20+/-0.10 dlogz:145.958>0.1]
464it [03:46,  1.83it/s, bound:32 nc: 61 ncall:2.1e+04 eff:2.2% logz-ratio=-364.32+/-0.09 dlogz:140.908>0.1]
