
1it [00:00, ?it/s]
3it [00:00, 14.53it/s, bound:0 nc:  6 ncall:5.1e+02 eff:0.6% logz-ratio=-708.25+/-0.12 dlogz:544.111>0.1]
7it [00:00, 21.80it/s, bound:0 nc:  5 ncall:5.2e+02 eff:1.4% logz-ratio=-653.42+/-0.11 dlogz:447.540>0.1]
10it [00:00, 24.74it/s, bound:0 nc:  1 ncall:5.2e+02 eff:1.9% logz-ratio=-619.53+/-0.11 dlogz:414.210>0.1]
14it [00:00, 28.27it/s, bound:0 nc:  2 ncall:5.3e+02 eff:2.6% logz-ratio=-609.70+/-0.11 dlogz:403.199>0.1]
17it [00:00, 27.26it/s, bound:0 nc:  1 ncall:5.4e+02 eff:3.2% logz-ratio=-597.71+/-0.12 dlogz:394.533>0.1]
20it [00:00, 20.63it/s, bound:0 nc:  6 ncall:5.5e+02 eff:3.6% logz-ratio=-577.43+/-0.12 dlogz:377.190>0.1]
26it [00:00, 29.86it/s, bound:0 nc:  1 ncall:5.6e+02 eff:4.7% logz-ratio=-554.71+/-0.10 dlogz:347.744>0.1]
30it [00:01, 24.17it/s, bound:0 nc: 10 ncall:5.7e+02 eff:5.3% logz-ratio=-540.07+/-0.11 dlogz:335.229>0.1]
33it [00:01, 21.51it/s, bound:0 nc:  2 ncall:5.8e+02 eff:5.7% logz-ratio=-536.74+/-0.10 dlogz:330.151>0.1]
36it [00:01, 22.24it/s, bound:0 nc:  4 ncall:5.9e+02 eff:6.1% logz-ratio=-527.95+/-0.11 dlogz:321.784>0.1]
39it [00:01, 23.84it/s, bound:0 nc:  1 ncall:5.9e+02 eff:6.6% logz-ratio=-516.55+/-0.11 dlogz:309.978>0.1]
43it [00:01, 24.67it/s, bound:0 nc:  4 ncall:6.0e+02 eff:7.1% logz-ratio=-503.82+/-0.12 dlogz:301.452>0.1]
46it [00:01, 24.77it/s, bound:0 nc:  2 ncall:6.1e+02 eff:7.5% logz-ratio=-500.03+/-0.11 dlogz:293.552>0.1]
49it [00:01, 25.84it/s, bound:0 nc:  3 ncall:6.2e+02 eff:8.0% logz-ratio=-493.23+/-0.11 dlogz:287.664>0.1]
53it [00:02, 29.35it/s, bound:0 nc:  2 ncall:6.2e+02 eff:8.5% logz-ratio=-487.28+/-0.11 dlogz:280.857>0.1]
57it [00:02, 27.85it/s, bound:0 nc:  1 ncall:6.3e+02 eff:9.0% logz-ratio=-480.22+/-0.10 dlogz:273.234>0.1]
61it [00:02, 29.50it/s, bound:0 nc:  4 ncall:6.4e+02 eff:9.6% logz-ratio=-476.21+/-0.11 dlogz:270.826>0.1]
65it [00:02, 27.46it/s, bound:0 nc:  6 ncall:6.5e+02 eff:10.0% logz-ratio=-472.78+/-0.10 dlogz:266.001>0.1]
68it [00:02, 24.23it/s, bound:0 nc:  1 ncall:6.6e+02 eff:10.3% logz-ratio=-470.63+/-0.10 dlogz:263.514>0.1]
71it [00:02, 25.42it/s, bound:0 nc:  3 ncall:6.6e+02 eff:10.7% logz-ratio=-468.42+/-0.10 dlogz:261.768>0.1]
75it [00:02, 26.68it/s, bound:0 nc:  3 ncall:6.7e+02 eff:11.2% logz-ratio=-465.23+/-0.10 dlogz:258.112>0.1]
79it [00:03, 29.80it/s, bound:0 nc:  2 ncall:6.8e+02 eff:11.7% logz-ratio=-463.01+/-0.10 dlogz:256.095>0.1]
83it [00:03, 25.75it/s, bound:0 nc:  1 ncall:6.9e+02 eff:12.0% logz-ratio=-458.91+/-0.10 dlogz:252.074>0.1]
86it [00:03, 18.83it/s, bound:0 nc:  1 ncall:7.1e+02 eff:12.2% logz-ratio=-456.34+/-0.10 dlogz:249.412>0.1]
89it [00:03, 18.07it/s, bound:0 nc:  3 ncall:7.2e+02 eff:12.4% logz-ratio=-451.93+/-0.10 dlogz:244.992>0.1]
93it [00:03, 22.05it/s, bound:0 nc:  2 ncall:7.2e+02 eff:12.8% logz-ratio=-450.07+/-0.10 dlogz:242.781>0.1]
96it [00:03, 23.68it/s, bound:0 nc:  1 ncall:7.3e+02 eff:13.2% logz-ratio=-448.18+/-0.10 dlogz:241.185>0.1]
99it [00:04, 19.81it/s, bound:0 nc:  6 ncall:7.4e+02 eff:13.3% logz-ratio=-446.22+/-0.10 dlogz:239.460>0.1]
102it [00:04, 17.08it/s, bound:0 nc:  2 ncall:7.6e+02 eff:13.5% logz-ratio=-443.96+/-0.10 dlogz:237.005>0.1]
105it [00:04, 18.85it/s, bound:0 nc:  2 ncall:7.6e+02 eff:13.7% logz-ratio=-441.33+/-0.10 dlogz:234.202>0.1]
109it [00:04, 23.12it/s, bound:0 nc:  2 ncall:7.7e+02 eff:14.2% logz-ratio=-439.32+/-0.10 dlogz:232.130>0.1]
112it [00:04, 22.91it/s, bound:0 nc:  2 ncall:7.8e+02 eff:14.4% logz-ratio=-436.04+/-0.11 dlogz:229.353>0.1]
118it [00:04, 31.28it/s, bound:0 nc:  1 ncall:7.8e+02 eff:15.1% logz-ratio=-432.04+/-0.10 dlogz:225.063>0.1]
122it [00:04, 29.68it/s, bound:0 nc:  3 ncall:7.9e+02 eff:15.4% logz-ratio=-429.82+/-0.10 dlogz:222.651>0.1]
126it [00:05, 19.66it/s, bound:0 nc:  4 ncall:8.2e+02 eff:15.5% logz-ratio=-425.75+/-0.11 dlogz:219.003>0.1]
130it [00:05, 23.12it/s, bound:0 nc:  1 ncall:8.2e+02 eff:15.8% logz-ratio=-423.43+/-0.10 dlogz:216.115>0.1]
134it [00:05, 24.79it/s, bound:0 nc:  1 ncall:8.3e+02 eff:16.2% logz-ratio=-421.72+/-0.10 dlogz:214.404>0.1]
138it [00:05, 26.08it/s, bound:0 nc:  2 ncall:8.4e+02 eff:16.5% logz-ratio=-419.53+/-0.10 dlogz:212.386>0.1]
142it [00:05, 29.04it/s, bound:0 nc:  1 ncall:8.4e+02 eff:16.8% logz-ratio=-417.56+/-0.10 dlogz:210.201>0.1]
146it [00:05, 27.28it/s, bound:0 nc:  1 ncall:8.5e+02 eff:17.1% logz-ratio=-415.84+/-0.10 dlogz:208.379>0.1]
150it [00:06, 22.50it/s, bound:0 nc:  2 ncall:8.7e+02 eff:17.3% logz-ratio=-414.25+/-0.10 dlogz:207.113>0.1]
155it [00:06, 26.89it/s, bound:0 nc:  2 ncall:8.8e+02 eff:17.7% logz-ratio=-412.04+/-0.10 dlogz:204.550>0.1]
159it [00:06, 27.67it/s, bound:0 nc:  4 ncall:8.8e+02 eff:18.0% logz-ratio=-409.61+/-0.10 dlogz:202.447>0.1]
163it [00:06, 23.47it/s, bound:0 nc:  3 ncall:9.0e+02 eff:18.2% logz-ratio=-407.62+/-0.10 dlogz:200.233>0.1]
166it [00:06, 23.94it/s, bound:0 nc:  3 ncall:9.0e+02 eff:18.4% logz-ratio=-406.66+/-0.10 dlogz:199.153>0.1]
169it [00:06, 25.20it/s, bound:0 nc:  1 ncall:9.1e+02 eff:18.6% logz-ratio=-404.51+/-0.10 dlogz:197.439>0.1]
172it [00:07, 26.26it/s, bound:0 nc:  2 ncall:9.2e+02 eff:18.8% logz-ratio=-402.46+/-0.10 dlogz:195.227>0.1]
175it [00:07, 25.06it/s, bound:0 nc:  2 ncall:9.2e+02 eff:18.9% logz-ratio=-401.35+/-0.10 dlogz:193.819>0.1]
178it [00:07, 23.36it/s, bound:0 nc:  4 ncall:9.3e+02 eff:19.1% logz-ratio=-400.30+/-0.10 dlogz:192.825>0.1]
182it [00:07, 26.75it/s, bound:0 nc:  2 ncall:9.4e+02 eff:19.4% logz-ratio=-398.25+/-0.10 dlogz:190.929>0.1]
185it [00:07, 24.40it/s, bound:0 nc:  1 ncall:9.5e+02 eff:19.5% logz-ratio=-397.21+/-0.10 dlogz:189.710>0.1]
189it [00:07, 27.01it/s, bound:0 nc:  2 ncall:9.6e+02 eff:19.8% logz-ratio=-396.07+/-0.09 dlogz:188.487>0.1]
193it [00:07, 30.15it/s, bound:0 nc:  1 ncall:9.6e+02 eff:20.1% logz-ratio=-394.49+/-0.10 dlogz:187.057>0.1]
197it [00:07, 26.85it/s, bound:0 nc:  5 ncall:9.7e+02 eff:20.3% logz-ratio=-393.33+/-0.09 dlogz:185.696>0.1]
201it [00:08, 29.85it/s, bound:0 nc:  1 ncall:9.8e+02 eff:20.6% logz-ratio=-391.53+/-0.10 dlogz:184.053>0.1]
205it [00:08, 27.72it/s, bound:0 nc:  2 ncall:9.9e+02 eff:20.7% logz-ratio=-390.09+/-0.10 dlogz:182.533>0.1]
208it [00:08, 22.78it/s, bound:0 nc:  1 ncall:1.0e+03 eff:20.8% logz-ratio=-388.60+/-0.10 dlogz:181.294>0.1]
211it [00:08, 21.25it/s, bound:0 nc:  5 ncall:1.0e+03 eff:20.9% logz-ratio=-387.67+/-0.10 dlogz:180.004>0.1]
214it [00:08, 22.24it/s, bound:0 nc:  1 ncall:1.0e+03 eff:21.0% logz-ratio=-386.62+/-0.10 dlogz:179.193>0.1]
218it [00:08, 26.13it/s, bound:0 nc:  1 ncall:1.0e+03 eff:21.3% logz-ratio=-385.34+/-0.10 dlogz:177.627>0.1]
221it [00:09, 20.27it/s, bound:0 nc:  4 ncall:1.0e+03 eff:21.3% logz-ratio=-384.78+/-0.09 dlogz:177.041>0.1]
224it [00:09, 14.72it/s, bound:0 nc:  6 ncall:1.1e+03 eff:21.2% logz-ratio=-384.22+/-0.09 dlogz:176.458>0.1]
226it [00:09, 15.15it/s, bound:0 nc:  2 ncall:1.1e+03 eff:21.2% logz-ratio=-383.83+/-0.09 dlogz:176.114>0.1]
229it [00:09, 17.86it/s, bound:0 nc:  1 ncall:1.1e+03 eff:21.4% logz-ratio=-383.03+/-0.09 dlogz:175.362>0.1]
232it [00:09, 15.93it/s, bound:0 nc:  3 ncall:1.1e+03 eff:21.4% logz-ratio=-382.17+/-0.09 dlogz:174.479>0.1]
234it [00:10, 14.41it/s, bound:0 nc: 10 ncall:1.1e+03 eff:21.4% logz-ratio=-381.75+/-0.09 dlogz:173.991>0.1]
237it [00:10, 16.79it/s, bound:0 nc:  2 ncall:1.1e+03 eff:21.5% logz-ratio=-381.20+/-0.09 dlogz:173.421>0.1]
239it [00:10, 16.85it/s, bound:0 nc:  2 ncall:1.1e+03 eff:21.5% logz-ratio=-380.87+/-0.09 dlogz:173.073>0.1]
242it [00:10, 16.66it/s, bound:0 nc:  7 ncall:1.1e+03 eff:21.6% logz-ratio=-380.13+/-0.09 dlogz:172.521>0.1]
244it [00:10, 14.76it/s, bound:0 nc:  4 ncall:1.1e+03 eff:21.6% logz-ratio=-379.36+/-0.10 dlogz:171.777>0.1]
246it [00:10, 15.64it/s, bound:0 nc:  3 ncall:1.1e+03 eff:21.6% logz-ratio=-378.05+/-0.10 dlogz:170.813>0.1]
249it [00:10, 18.77it/s, bound:0 nc:  2 ncall:1.1e+03 eff:21.8% logz-ratio=-376.38+/-0.10 dlogz:168.838>0.1]
252it [00:10, 21.43it/s, bound:0 nc:  2 ncall:1.2e+03 eff:21.9% logz-ratio=-374.83+/-0.10 dlogz:167.416>0.1]
255it [00:11, 22.60it/s, bound:0 nc:  1 ncall:1.2e+03 eff:22.0% logz-ratio=-373.45+/-0.10 dlogz:165.792>0.1]
258it [00:11, 22.51it/s, bound:0 nc:  3 ncall:1.2e+03 eff:22.1% logz-ratio=-372.77+/-0.10 dlogz:164.958>0.1]
262it [00:11, 26.84it/s, bound:0 nc:  1 ncall:1.2e+03 eff:22.4% logz-ratio=-371.78+/-0.09 dlogz:164.026>0.1]
265it [00:11, 23.47it/s, bound:0 nc:  2 ncall:1.2e+03 eff:22.4% logz-ratio=-371.10+/-0.09 dlogz:163.327>0.1]
268it [00:11, 22.30it/s, bound:0 nc:  3 ncall:1.2e+03 eff:22.5% logz-ratio=-370.31+/-0.09 dlogz:162.519>0.1]
271it [00:11, 24.05it/s, bound:0 nc:  1 ncall:1.2e+03 eff:22.7% logz-ratio=-369.57+/-0.09 dlogz:161.811>0.1]
274it [00:12, 16.91it/s, bound:0 nc:  4 ncall:1.2e+03 eff:22.6% logz-ratio=-368.62+/-0.10 dlogz:160.974>0.1]
277it [00:12, 17.67it/s, bound:0 nc:  4 ncall:1.2e+03 eff:22.6% logz-ratio=-367.58+/-0.10 dlogz:159.841>0.1]
280it [00:12, 18.83it/s, bound:0 nc:  1 ncall:1.2e+03 eff:22.7% logz-ratio=-366.87+/-0.09 dlogz:159.051>0.1]
283it [00:12, 14.14it/s, bound:0 nc: 15 ncall:1.3e+03 eff:22.6% logz-ratio=-366.14+/-0.09 dlogz:158.334>0.1]
285it [00:12, 12.95it/s, bound:0 nc:  5 ncall:1.3e+03 eff:22.6% logz-ratio=-365.68+/-0.09 dlogz:157.848>0.1]
288it [00:13, 14.55it/s, bound:0 nc:  4 ncall:1.3e+03 eff:22.6% logz-ratio=-365.10+/-0.09 dlogz:157.221>0.1]
290it [00:13, 13.48it/s, bound:0 nc:  8 ncall:1.3e+03 eff:22.6% logz-ratio=-364.74+/-0.09 dlogz:156.858>0.1]
292it [00:13, 13.44it/s, bound:0 nc:  8 ncall:1.3e+03 eff:22.6% logz-ratio=-364.36+/-0.09 dlogz:156.503>0.1]
294it [00:13, 14.23it/s, bound:0 nc:  3 ncall:1.3e+03 eff:22.6% logz-ratio=-363.94+/-0.09 dlogz:156.058>0.1]
299it [00:13, 20.31it/s, bound:0 nc:  4 ncall:1.3e+03 eff:22.9% logz-ratio=-361.72+/-0.10 dlogz:154.234>0.1]
302it [00:13, 21.62it/s, bound:0 nc:  1 ncall:1.3e+03 eff:23.0% logz-ratio=-360.26+/-0.10 dlogz:152.609>0.1]
306it [00:13, 25.82it/s, bound:0 nc:  1 ncall:1.3e+03 eff:23.2% logz-ratio=-358.95+/-0.10 dlogz:151.166>0.1]
309it [00:14, 21.47it/s, bound:0 nc:  7 ncall:1.3e+03 eff:23.2% logz-ratio=-357.59+/-0.10 dlogz:150.015>0.1]
312it [00:14, 20.98it/s, bound:0 nc:  5 ncall:1.3e+03 eff:23.3% logz-ratio=-356.05+/-0.10 dlogz:148.425>0.1]
315it [00:14, 18.24it/s, bound:0 nc:  1 ncall:1.4e+03 eff:23.3% logz-ratio=-354.92+/-0.10 dlogz:147.137>0.1]
318it [00:14, 17.65it/s, bound:0 nc:  3 ncall:1.4e+03 eff:23.3% logz-ratio=-353.46+/-0.10 dlogz:145.887>0.1]
320it [00:14, 14.74it/s, bound:0 nc: 11 ncall:1.4e+03 eff:23.2% logz-ratio=-352.62+/-0.10 dlogz:144.858>0.1]
324it [00:15, 12.73it/s, bound:0 nc: 18 ncall:1.4e+03 eff:23.1% logz-ratio=-351.51+/-0.10 dlogz:143.607>0.1]
326it [00:15, 12.28it/s, bound:0 nc:  5 ncall:1.4e+03 eff:23.1% logz-ratio=-351.09+/-0.10 dlogz:143.166>0.1]
328it [00:15, 10.92it/s, bound:0 nc:  9 ncall:1.4e+03 eff:23.0% logz-ratio=-350.67+/-0.09 dlogz:142.726>0.1]
330it [00:15, 11.71it/s, bound:0 nc:  2 ncall:1.4e+03 eff:23.0% logz-ratio=-350.18+/-0.09 dlogz:142.299>0.1]
332it [00:15, 11.77it/s, bound:0 nc:  4 ncall:1.4e+03 eff:23.0% logz-ratio=-349.57+/-0.10 dlogz:141.770>0.1]
334it [00:16, 10.18it/s, bound:0 nc:  7 ncall:1.5e+03 eff:22.9% logz-ratio=-348.81+/-0.10 dlogz:141.013>0.1]
336it [00:16,  9.25it/s, bound:0 nc: 12 ncall:1.5e+03 eff:22.7% logz-ratio=-348.25+/-0.10 dlogz:140.351>0.1]
