
1it [00:00, ?it/s]
4it [00:00, 27.09it/s, bound:0 nc:  9 ncall:5.3e+02 eff:0.8% logz-ratio=-790.43+/-0.12 dlogz:511.361>0.1]
7it [00:00, 12.70it/s, bound:0 nc: 25 ncall:6.1e+02 eff:1.2% logz-ratio=-706.33+/-0.12 dlogz:414.988>0.1]
10it [00:00, 17.15it/s, bound:0 nc:  5 ncall:6.2e+02 eff:1.6% logz-ratio=-675.61+/-0.12 dlogz:377.350>0.1]
13it [00:00, 18.88it/s, bound:0 nc: 13 ncall:6.5e+02 eff:2.0% logz-ratio=-656.35+/-0.12 dlogz:363.681>0.1]
16it [00:00, 18.83it/s, bound:0 nc: 24 ncall:6.9e+02 eff:2.3% logz-ratio=-650.83+/-0.12 dlogz:346.223>0.1]
19it [00:01, 14.24it/s, bound:0 nc: 19 ncall:8.0e+02 eff:2.4% logz-ratio=-643.45+/-0.11 dlogz:337.965>0.1]
21it [00:01, 13.17it/s, bound:0 nc: 42 ncall:8.5e+02 eff:2.5% logz-ratio=-639.49+/-0.11 dlogz:333.977>0.1]
23it [00:01, 13.69it/s, bound:0 nc: 11 ncall:8.7e+02 eff:2.6% logz-ratio=-635.78+/-0.11 dlogz:328.901>0.1]
25it [00:01, 13.14it/s, bound:0 nc: 24 ncall:9.3e+02 eff:2.7% logz-ratio=-634.16+/-0.10 dlogz:326.417>0.1]
27it [00:01, 12.35it/s, bound:0 nc: 11 ncall:9.8e+02 eff:2.8% logz-ratio=-628.35+/-0.11 dlogz:321.860>0.1]
28it [00:20, 12.35it/s, bound:0 nc: 10 ncall:9.9e+02 eff:2.8% logz-ratio=-624.38+/-0.12 dlogz:319.972>0.1]
29it [00:32,  4.39s/it, bound:1 nc: 66 ncall:1.1e+03 eff:2.8% logz-ratio=-623.07+/-0.11 dlogz:316.009>0.1]
51it [01:02,  1.93s/it, bound:2 nc: 54 ncall:2.2e+03 eff:2.3% logz-ratio=-585.94+/-0.11 dlogz:279.057>0.1]
