
1it [00:00, ?it/s]
6it [00:00, 45.58it/s, bound:0 nc:  1 ncall:5.1e+02 eff:1.2% logz-ratio=-576.86+/-0.12 dlogz:384.133>0.1]
12it [00:00, 52.92it/s, bound:0 nc:  1 ncall:5.1e+02 eff:2.3% logz-ratio=-559.81+/-0.10 dlogz:359.772>0.1]
18it [00:00, 54.57it/s, bound:0 nc:  1 ncall:5.2e+02 eff:3.5% logz-ratio=-526.25+/-0.11 dlogz:328.322>0.1]
24it [00:00, 55.87it/s, bound:0 nc:  1 ncall:5.2e+02 eff:4.6% logz-ratio=-515.62+/-0.11 dlogz:315.776>0.1]
30it [00:00, 56.77it/s, bound:0 nc:  1 ncall:5.3e+02 eff:5.7% logz-ratio=-506.98+/-0.11 dlogz:307.098>0.1]
36it [00:00, 54.43it/s, bound:0 nc:  1 ncall:5.4e+02 eff:6.7% logz-ratio=-497.25+/-0.11 dlogz:297.574>0.1]
42it [00:00, 55.75it/s, bound:0 nc:  1 ncall:5.4e+02 eff:7.7% logz-ratio=-488.70+/-0.11 dlogz:290.447>0.1]
48it [00:00, 53.77it/s, bound:0 nc:  1 ncall:5.5e+02 eff:8.7% logz-ratio=-480.98+/-0.10 dlogz:280.580>0.1]
54it [00:00, 52.61it/s, bound:0 nc:  2 ncall:5.6e+02 eff:9.7% logz-ratio=-472.96+/-0.12 dlogz:276.301>0.1]
60it [00:01, 54.37it/s, bound:0 nc:  1 ncall:5.6e+02 eff:10.7% logz-ratio=-464.67+/-0.10 dlogz:265.759>0.1]
66it [00:01, 55.64it/s, bound:0 nc:  1 ncall:5.7e+02 eff:11.6% logz-ratio=-454.79+/-0.11 dlogz:256.097>0.1]
72it [00:01, 53.93it/s, bound:0 nc:  1 ncall:5.8e+02 eff:12.5% logz-ratio=-449.18+/-0.10 dlogz:249.711>0.1]
78it [00:01, 50.28it/s, bound:0 nc:  1 ncall:5.8e+02 eff:13.4% logz-ratio=-441.61+/-0.12 dlogz:245.216>0.1]
84it [00:01, 50.32it/s, bound:0 nc:  1 ncall:5.9e+02 eff:14.2% logz-ratio=-432.00+/-0.10 dlogz:233.000>0.1]
90it [00:01, 50.39it/s, bound:0 nc:  1 ncall:6.0e+02 eff:15.1% logz-ratio=-427.67+/-0.10 dlogz:228.246>0.1]
96it [00:01, 50.40it/s, bound:0 nc:  1 ncall:6.0e+02 eff:15.9% logz-ratio=-422.18+/-0.11 dlogz:223.354>0.1]
102it [00:01, 46.50it/s, bound:0 nc:  1 ncall:6.1e+02 eff:16.6% logz-ratio=-417.98+/-0.10 dlogz:218.879>0.1]
108it [00:02, 49.57it/s, bound:0 nc:  1 ncall:6.2e+02 eff:17.4% logz-ratio=-410.93+/-0.10 dlogz:211.505>0.1]
114it [00:02, 49.76it/s, bound:0 nc:  1 ncall:6.3e+02 eff:18.2% logz-ratio=-407.34+/-0.10 dlogz:208.179>0.1]
120it [00:02, 49.94it/s, bound:0 nc:  1 ncall:6.3e+02 eff:18.9% logz-ratio=-403.76+/-0.10 dlogz:204.269>0.1]
126it [00:02, 52.26it/s, bound:0 nc:  1 ncall:6.4e+02 eff:19.7% logz-ratio=-400.67+/-0.10 dlogz:201.159>0.1]
132it [00:02, 51.62it/s, bound:0 nc:  2 ncall:6.5e+02 eff:20.4% logz-ratio=-397.56+/-0.10 dlogz:198.063>0.1]
138it [00:02, 50.78it/s, bound:0 nc:  1 ncall:6.5e+02 eff:21.1% logz-ratio=-394.12+/-0.10 dlogz:194.671>0.1]
144it [00:02, 48.60it/s, bound:0 nc:  2 ncall:6.6e+02 eff:21.8% logz-ratio=-390.32+/-0.10 dlogz:190.777>0.1]
149it [00:02, 46.74it/s, bound:0 nc:  2 ncall:6.7e+02 eff:22.3% logz-ratio=-388.13+/-0.10 dlogz:188.495>0.1]
155it [00:03, 45.89it/s, bound:0 nc:  3 ncall:6.8e+02 eff:22.9% logz-ratio=-385.89+/-0.10 dlogz:186.236>0.1]
161it [00:03, 49.21it/s, bound:0 nc:  1 ncall:6.8e+02 eff:23.6% logz-ratio=-381.56+/-0.10 dlogz:182.463>0.1]
166it [00:03, 49.16it/s, bound:0 nc:  1 ncall:6.9e+02 eff:24.1% logz-ratio=-377.88+/-0.10 dlogz:178.253>0.1]
171it [00:03, 49.16it/s, bound:0 nc:  1 ncall:7.0e+02 eff:24.6% logz-ratio=-375.98+/-0.10 dlogz:176.317>0.1]
176it [00:03, 41.39it/s, bound:0 nc:  1 ncall:7.0e+02 eff:25.0% logz-ratio=-373.94+/-0.10 dlogz:174.267>0.1]
181it [00:03, 35.17it/s, bound:0 nc:  1 ncall:7.2e+02 eff:25.3% logz-ratio=-372.50+/-0.09 dlogz:172.684>0.1]
187it [00:03, 40.53it/s, bound:0 nc:  1 ncall:7.2e+02 eff:25.9% logz-ratio=-371.08+/-0.09 dlogz:171.229>0.1]
192it [00:03, 42.64it/s, bound:0 nc:  1 ncall:7.3e+02 eff:26.4% logz-ratio=-369.51+/-0.10 dlogz:169.881>0.1]
197it [00:04, 42.55it/s, bound:0 nc:  1 ncall:7.4e+02 eff:26.8% logz-ratio=-367.39+/-0.10 dlogz:167.668>0.1]
202it [00:04, 37.74it/s, bound:0 nc:  2 ncall:7.4e+02 eff:27.1% logz-ratio=-365.43+/-0.10 dlogz:165.767>0.1]
207it [00:04, 31.72it/s, bound:0 nc:  2 ncall:7.6e+02 eff:27.3% logz-ratio=-363.74+/-0.10 dlogz:163.956>0.1]
211it [00:04, 32.23it/s, bound:0 nc:  2 ncall:7.6e+02 eff:27.6% logz-ratio=-362.57+/-0.09 dlogz:162.667>0.1]
215it [00:04, 31.52it/s, bound:0 nc:  3 ncall:7.7e+02 eff:27.8% logz-ratio=-361.80+/-0.09 dlogz:161.830>0.1]
219it [00:04, 27.16it/s, bound:0 nc:  2 ncall:7.8e+02 eff:27.9% logz-ratio=-361.17+/-0.09 dlogz:161.192>0.1]
223it [00:04, 29.31it/s, bound:0 nc:  1 ncall:7.9e+02 eff:28.2% logz-ratio=-360.05+/-0.09 dlogz:160.201>0.1]
227it [00:05, 30.44it/s, bound:0 nc:  1 ncall:8.0e+02 eff:28.4% logz-ratio=-358.88+/-0.09 dlogz:159.014>0.1]
231it [00:05, 30.20it/s, bound:0 nc:  4 ncall:8.1e+02 eff:28.7% logz-ratio=-357.24+/-0.10 dlogz:157.673>0.1]
