
1it [00:00, ?it/s]
4it [00:00, 25.12it/s, bound:0 nc:  1 ncall:5.0e+02 eff:0.8% logz-ratio=-715.84+/-0.12 dlogz:565.075>0.1]
8it [00:00, 30.33it/s, bound:0 nc:  1 ncall:5.1e+02 eff:1.6% logz-ratio=-639.05+/-0.12 dlogz:455.807>0.1]
12it [00:00, 28.69it/s, bound:0 nc:  1 ncall:5.1e+02 eff:2.3% logz-ratio=-584.77+/-0.12 dlogz:409.953>0.1]
16it [00:00, 30.68it/s, bound:0 nc:  1 ncall:5.2e+02 eff:3.1% logz-ratio=-573.98+/-0.11 dlogz:381.322>0.1]
20it [00:00, 29.33it/s, bound:0 nc:  1 ncall:5.2e+02 eff:3.8% logz-ratio=-558.24+/-0.11 dlogz:365.551>0.1]
24it [00:00, 30.72it/s, bound:0 nc:  1 ncall:5.3e+02 eff:4.6% logz-ratio=-551.07+/-0.11 dlogz:359.473>0.1]
28it [00:00, 31.71it/s, bound:0 nc:  1 ncall:5.3e+02 eff:5.3% logz-ratio=-534.26+/-0.11 dlogz:342.338>0.1]
32it [00:01, 32.00it/s, bound:0 nc:  1 ncall:5.3e+02 eff:6.0% logz-ratio=-519.21+/-0.11 dlogz:327.874>0.1]
36it [00:01, 30.33it/s, bound:0 nc:  1 ncall:5.4e+02 eff:6.7% logz-ratio=-510.43+/-0.11 dlogz:317.869>0.1]
40it [00:01, 31.36it/s, bound:0 nc:  1 ncall:5.4e+02 eff:7.4% logz-ratio=-498.80+/-0.11 dlogz:306.009>0.1]
44it [00:01, 32.08it/s, bound:0 nc:  1 ncall:5.5e+02 eff:8.0% logz-ratio=-493.98+/-0.10 dlogz:300.698>0.1]
48it [00:01, 30.47it/s, bound:0 nc:  1 ncall:5.5e+02 eff:8.7% logz-ratio=-487.60+/-0.11 dlogz:296.358>0.1]
52it [00:01, 31.41it/s, bound:0 nc:  1 ncall:5.6e+02 eff:9.4% logz-ratio=-480.53+/-0.11 dlogz:288.849>0.1]
56it [00:01, 32.12it/s, bound:0 nc:  1 ncall:5.6e+02 eff:10.0% logz-ratio=-471.31+/-0.11 dlogz:279.048>0.1]
60it [00:01, 32.70it/s, bound:0 nc:  1 ncall:5.6e+02 eff:10.6% logz-ratio=-465.63+/-0.11 dlogz:273.057>0.1]
64it [00:02, 30.65it/s, bound:0 nc:  2 ncall:5.7e+02 eff:11.2% logz-ratio=-463.07+/-0.10 dlogz:269.653>0.1]
68it [00:02, 31.53it/s, bound:0 nc:  1 ncall:5.7e+02 eff:11.9% logz-ratio=-459.00+/-0.11 dlogz:266.570>0.1]
72it [00:02, 30.06it/s, bound:0 nc:  1 ncall:5.8e+02 eff:12.5% logz-ratio=-456.36+/-0.10 dlogz:262.983>0.1]
76it [00:02, 29.05it/s, bound:0 nc:  1 ncall:5.8e+02 eff:13.0% logz-ratio=-454.71+/-0.10 dlogz:261.081>0.1]
80it [00:02, 30.33it/s, bound:0 nc:  1 ncall:5.9e+02 eff:13.6% logz-ratio=-453.56+/-0.09 dlogz:259.846>0.1]
84it [00:02, 31.29it/s, bound:0 nc:  1 ncall:5.9e+02 eff:14.2% logz-ratio=-451.17+/-0.10 dlogz:258.102>0.1]
88it [00:02, 29.77it/s, bound:0 nc:  1 ncall:6.0e+02 eff:14.8% logz-ratio=-447.72+/-0.10 dlogz:254.356>0.1]
92it [00:02, 28.89it/s, bound:0 nc:  1 ncall:6.0e+02 eff:15.3% logz-ratio=-444.87+/-0.10 dlogz:251.497>0.1]
96it [00:03, 30.20it/s, bound:0 nc:  1 ncall:6.0e+02 eff:15.9% logz-ratio=-440.49+/-0.11 dlogz:247.523>0.1]
100it [00:03, 29.05it/s, bound:0 nc:  1 ncall:6.1e+02 eff:16.4% logz-ratio=-436.87+/-0.10 dlogz:243.769>0.1]
103it [00:03, 28.06it/s, bound:0 nc:  1 ncall:6.1e+02 eff:16.8% logz-ratio=-434.16+/-0.10 dlogz:240.949>0.1]
107it [00:03, 29.68it/s, bound:0 nc:  1 ncall:6.2e+02 eff:17.3% logz-ratio=-426.82+/-0.11 dlogz:234.192>0.1]
110it [00:03, 28.48it/s, bound:0 nc:  2 ncall:6.2e+02 eff:17.7% logz-ratio=-424.83+/-0.10 dlogz:231.286>0.1]
113it [00:03, 27.59it/s, bound:0 nc:  2 ncall:6.3e+02 eff:18.1% logz-ratio=-423.22+/-0.10 dlogz:229.765>0.1]
117it [00:03, 29.42it/s, bound:0 nc:  1 ncall:6.3e+02 eff:18.6% logz-ratio=-420.35+/-0.10 dlogz:227.034>0.1]
121it [00:03, 30.59it/s, bound:0 nc:  1 ncall:6.3e+02 eff:19.1% logz-ratio=-417.19+/-0.10 dlogz:223.792>0.1]
125it [00:04, 31.54it/s, bound:0 nc:  1 ncall:6.4e+02 eff:19.6% logz-ratio=-415.44+/-0.10 dlogz:221.776>0.1]
129it [00:04, 28.15it/s, bound:0 nc:  1 ncall:6.4e+02 eff:20.0% logz-ratio=-413.66+/-0.10 dlogz:220.128>0.1]
132it [00:04, 27.43it/s, bound:0 nc:  2 ncall:6.5e+02 eff:20.4% logz-ratio=-409.99+/-0.11 dlogz:217.537>0.1]
135it [00:04, 25.18it/s, bound:0 nc:  2 ncall:6.5e+02 eff:20.7% logz-ratio=-407.58+/-0.10 dlogz:213.910>0.1]
139it [00:04, 27.52it/s, bound:0 nc:  1 ncall:6.6e+02 eff:21.2% logz-ratio=-405.12+/-0.10 dlogz:211.622>0.1]
142it [00:04, 23.73it/s, bound:0 nc:  2 ncall:6.6e+02 eff:21.4% logz-ratio=-401.59+/-0.11 dlogz:208.426>0.1]
