
1it [00:00, ?it/s]
2it [00:00,  3.59it/s, bound:0 nc: 35 ncall:5.4e+02 eff:0.4% logz-ratio=-983.19+/-0.12 dlogz:873.523>0.1]
4it [00:00,  7.59it/s, bound:0 nc: 16 ncall:5.6e+02 eff:0.7% logz-ratio=-822.87+/-0.12 dlogz:624.283>0.1]
5it [00:00,  7.59it/s, bound:0 nc: 53 ncall:6.2e+02 eff:0.8% logz-ratio=-804.67+/-0.12 dlogz:521.962>0.1]
7it [00:00,  7.91it/s, bound:0 nc: 30 ncall:6.6e+02 eff:1.1% logz-ratio=-768.53+/-0.12 dlogz:492.162>0.1]
10it [00:00, 12.28it/s, bound:0 nc:  3 ncall:6.7e+02 eff:1.5% logz-ratio=-740.40+/-0.11 dlogz:441.258>0.1]
12it [00:01, 11.31it/s, bound:0 nc:  9 ncall:7.2e+02 eff:1.7% logz-ratio=-727.03+/-0.12 dlogz:430.819>0.1]
15it [00:01, 12.37it/s, bound:0 nc: 48 ncall:7.8e+02 eff:1.9% logz-ratio=-702.50+/-0.12 dlogz:412.835>0.1]
18it [00:01, 15.26it/s, bound:0 nc:  1 ncall:7.9e+02 eff:2.3% logz-ratio=-695.61+/-0.11 dlogz:397.870>0.1]
20it [00:01, 14.58it/s, bound:0 nc:  5 ncall:8.0e+02 eff:2.5% logz-ratio=-681.29+/-0.11 dlogz:382.684>0.1]
22it [00:01, 14.89it/s, bound:0 nc: 18 ncall:8.3e+02 eff:2.7% logz-ratio=-670.72+/-0.12 dlogz:373.029>0.1]
24it [00:01, 15.35it/s, bound:0 nc:  3 ncall:8.4e+02 eff:2.8% logz-ratio=-660.40+/-0.12 dlogz:366.517>0.1]
26it [00:02, 13.35it/s, bound:0 nc: 12 ncall:8.6e+02 eff:3.0% logz-ratio=-655.55+/-0.11 dlogz:356.746>0.1]
28it [00:02, 11.49it/s, bound:0 nc:  7 ncall:8.7e+02 eff:3.2% logz-ratio=-652.37+/-0.11 dlogz:353.073>0.1]
30it [00:02, 11.69it/s, bound:0 nc: 18 ncall:9.1e+02 eff:3.3% logz-ratio=-641.51+/-0.12 dlogz:350.521>0.1]
32it [00:02, 11.23it/s, bound:0 nc:  4 ncall:9.3e+02 eff:3.5% logz-ratio=-639.43+/-0.10 dlogz:339.284>0.1]
34it [00:02, 12.50it/s, bound:0 nc:  7 ncall:9.3e+02 eff:3.6% logz-ratio=-635.73+/-0.11 dlogz:336.862>0.1]
36it [00:02, 11.73it/s, bound:0 nc: 14 ncall:9.5e+02 eff:3.8% logz-ratio=-632.78+/-0.11 dlogz:333.303>0.1]
38it [00:03, 10.49it/s, bound:0 nc: 23 ncall:9.8e+02 eff:3.9% logz-ratio=-629.29+/-0.11 dlogz:330.115>0.1]
40it [00:03, 11.88it/s, bound:0 nc:  1 ncall:9.9e+02 eff:4.0% logz-ratio=-625.70+/-0.11 dlogz:326.541>0.1]
40it [00:20, 11.88it/s, bound:0 nc:  1 ncall:9.9e+02 eff:4.0% logz-ratio=-625.70+/-0.11 dlogz:326.541>0.1]
41it [00:50,  8.31s/it, bound:1 nc: 66 ncall:1.1e+03 eff:3.9% logz-ratio=-622.84+/-0.11 dlogz:324.721>0.1]
61it [01:54,  4.07s/it, bound:2 nc: 56 ncall:2.2e+03 eff:2.8% logz-ratio=-591.63+/-0.10 dlogz:291.138>0.1]
85it [02:38,  2.74s/it, bound:5 nc: 78 ncall:4.0e+03 eff:2.1% logz-ratio=-570.92+/-0.11 dlogz:271.280>0.1]
108it [03:30,  2.52s/it, bound:7 nc: 54 ncall:5.3e+03 eff:2.0% logz-ratio=-553.19+/-0.11 dlogz:253.284>0.1]
132it [04:17,  2.30s/it, bound:10 nc: 60 ncall:6.7e+03 eff:2.0% logz-ratio=-536.30+/-0.10 dlogz:235.484>0.1]
156it [05:26,  2.52s/it, bound:12 nc: 57 ncall:8.1e+03 eff:1.9% logz-ratio=-519.84+/-0.11 dlogz:219.575>0.1]
180it [06:17,  2.38s/it, bound:15 nc: 81 ncall:1.0e+04 eff:1.8% logz-ratio=-506.68+/-0.10 dlogz:205.941>0.1]
205it [07:10,  2.29s/it, bound:17 nc: 57 ncall:1.1e+04 eff:1.8% logz-ratio=-494.45+/-0.10 dlogz:193.527>0.1]
230it [08:17,  2.42s/it, bound:20 nc: 60 ncall:1.3e+04 eff:1.8% logz-ratio=-485.91+/-0.09 dlogz:184.822>0.1]
241it [08:18,  2.01s/it, bound:21 nc:  1 ncall:1.4e+04 eff:5.2% logz-ratio=-332.48+/-0.20 dlogz:27.778>0.1] 
241it [08:30,  2.01s/it, bound:21 nc:  1 ncall:1.4e+04 eff:5.4% logz-ratio=-307.44+/-nan dlogz:0.619>0.1]  
242it [08:31,  2.25s/it, bound:21 nc: 77 ncall:1.4e+04 eff:1.7% logz-ratio=-481.29+/-0.05 dlogz:180.229>0.1]
255it [09:14,  2.56s/it, bound:23 nc: 77 ncall:1.5e+04 eff:1.7% logz-ratio=-476.38+/-0.09 dlogz:175.174>0.1]
279it [10:02,  2.32s/it, bound:25 nc: 51 ncall:1.6e+04 eff:1.7% logz-ratio=-469.39+/-0.10 dlogz:168.209>0.1]
304it [10:57,  2.27s/it, bound:27 nc: 53 ncall:1.7e+04 eff:1.7% logz-ratio=-457.74+/-0.10 dlogz:156.656>0.1]
