
1it [00:00, ?it/s]
3it [00:00, 13.02it/s, bound:0 nc: 22 ncall:5.5e+02 eff:0.5% logz-ratio=-888.10+/-0.12 dlogz:704.321>0.1]
6it [00:00, 19.38it/s, bound:0 nc: 26 ncall:5.8e+02 eff:1.0% logz-ratio=-799.42+/-0.12 dlogz:526.746>0.1]
9it [00:00, 19.84it/s, bound:0 nc: 12 ncall:6.1e+02 eff:1.5% logz-ratio=-748.56+/-0.11 dlogz:454.266>0.1]
12it [00:00, 17.39it/s, bound:0 nc: 25 ncall:6.5e+02 eff:1.8% logz-ratio=-728.25+/-0.12 dlogz:448.820>0.1]
14it [00:00, 16.71it/s, bound:0 nc: 52 ncall:7.1e+02 eff:2.0% logz-ratio=-706.62+/-0.12 dlogz:427.907>0.1]
17it [00:00, 17.65it/s, bound:0 nc: 31 ncall:7.6e+02 eff:2.2% logz-ratio=-696.55+/-0.12 dlogz:404.263>0.1]
19it [00:01, 16.42it/s, bound:0 nc: 10 ncall:7.9e+02 eff:2.4% logz-ratio=-681.68+/-0.12 dlogz:391.260>0.1]
22it [00:01, 19.00it/s, bound:0 nc:  5 ncall:8.0e+02 eff:2.7% logz-ratio=-665.91+/-0.12 dlogz:375.465>0.1]
24it [00:01, 18.74it/s, bound:0 nc:  1 ncall:8.1e+02 eff:3.0% logz-ratio=-655.79+/-0.12 dlogz:367.440>0.1]
28it [00:01, 23.22it/s, bound:0 nc:  7 ncall:8.3e+02 eff:3.4% logz-ratio=-647.08+/-0.11 dlogz:353.026>0.1]
31it [00:01, 22.15it/s, bound:0 nc: 13 ncall:8.7e+02 eff:3.6% logz-ratio=-634.64+/-0.11 dlogz:340.146>0.1]
34it [00:01, 23.04it/s, bound:0 nc:  3 ncall:8.9e+02 eff:3.8% logz-ratio=-630.18+/-0.12 dlogz:337.697>0.1]
37it [00:01, 20.69it/s, bound:0 nc:  9 ncall:9.4e+02 eff:3.9% logz-ratio=-626.77+/-0.10 dlogz:331.726>0.1]
40it [00:01, 20.79it/s, bound:0 nc: 16 ncall:9.6e+02 eff:4.2% logz-ratio=-622.25+/-0.11 dlogz:328.817>0.1]
43it [00:02, 20.73it/s, bound:0 nc: 22 ncall:9.8e+02 eff:4.4% logz-ratio=-620.25+/-0.10 dlogz:325.067>0.1]
43it [00:20, 20.73it/s, bound:0 nc: 22 ncall:9.8e+02 eff:4.4% logz-ratio=-620.25+/-0.10 dlogz:325.067>0.1]
44it [00:35,  4.30s/it, bound:1 nc: 66 ncall:1.1e+03 eff:4.2% logz-ratio=-618.65+/-0.11 dlogz:324.545>0.1]
68it [01:11,  2.02s/it, bound:3 nc: 51 ncall:2.3e+03 eff:3.0% logz-ratio=-581.23+/-0.12 dlogz:288.822>0.1]
93it [01:54,  1.85s/it, bound:5 nc: 56 ncall:3.7e+03 eff:2.5% logz-ratio=-556.35+/-0.10 dlogz:261.262>0.1]
116it [02:33,  1.79s/it, bound:7 nc: 69 ncall:5.3e+03 eff:2.2% logz-ratio=-541.09+/-0.10 dlogz:246.051>0.1]
140it [03:11,  1.70s/it, bound:10 nc: 66 ncall:6.8e+03 eff:2.0% logz-ratio=-526.62+/-0.10 dlogz:231.158>0.1]
164it [03:46,  1.63s/it, bound:12 nc: 63 ncall:8.4e+03 eff:2.0% logz-ratio=-515.23+/-0.09 dlogz:219.548>0.1]
187it [04:26,  1.66s/it, bound:14 nc: 57 ncall:9.7e+03 eff:1.9% logz-ratio=-506.67+/-0.10 dlogz:210.945>0.1]
212it [04:57,  1.51s/it, bound:17 nc: 62 ncall:1.1e+04 eff:1.9% logz-ratio=-497.21+/-0.10 dlogz:201.608>0.1]
236it [05:30,  1.47s/it, bound:19 nc: 47 ncall:1.2e+04 eff:1.9% logz-ratio=-486.76+/-0.10 dlogz:191.225>0.1]
250it [05:30,  1.17s/it, bound:20 nc:  1 ncall:1.4e+04 eff:5.6% logz-ratio=-320.65+/-0.15 dlogz:20.955>0.1] 
260it [05:50,  1.17s/it, bound:21 nc: 51 ncall:1.4e+04 eff:1.9% logz-ratio=-477.95+/-0.10 dlogz:182.224>0.1]
261it [06:21,  1.82s/it, bound:21 nc: 51 ncall:1.4e+04 eff:1.9% logz-ratio=-477.59+/-0.10 dlogz:181.808>0.1]
285it [07:12,  1.93s/it, bound:24 nc: 82 ncall:1.6e+04 eff:1.8% logz-ratio=-470.44+/-0.10 dlogz:174.610>0.1]
310it [07:43,  1.69s/it, bound:27 nc: 79 ncall:1.8e+04 eff:1.8% logz-ratio=-463.59+/-0.09 dlogz:167.631>0.1]
334it [08:14,  1.56s/it, bound:29 nc: 51 ncall:1.9e+04 eff:1.8% logz-ratio=-456.82+/-0.10 dlogz:160.952>0.1]
358it [09:00,  1.67s/it, bound:31 nc: 52 ncall:2.0e+04 eff:1.8% logz-ratio=-450.23+/-0.10 dlogz:154.101>0.1]
382it [09:31,  1.56s/it, bound:34 nc: 73 ncall:2.2e+04 eff:1.8% logz-ratio=-444.18+/-0.10 dlogz:148.099>0.1]
405it [10:37,  1.95s/it, bound:35 nc: 51 ncall:2.3e+04 eff:1.8% logz-ratio=-437.21+/-0.10 dlogz:141.035>0.1]
429it [11:16,  1.85s/it, bound:39 nc:103 ncall:2.5e+04 eff:1.7% logz-ratio=-431.36+/-0.10 dlogz:135.136>0.1]
433it [11:30,  1.96s/it, bound:40 nc: 62 ncall:2.6e+04 eff:1.7% logz-ratio=-430.47+/-0.04 dlogz:134.585>0.1]
452it [12:10,  2.00s/it, bound:42 nc: 62 ncall:2.7e+04 eff:1.7% logz-ratio=-426.18+/-0.10 dlogz:130.246>0.1]
