
1it [00:00, ?it/s]
1it [00:21, ?it/s, bound:1 nc:515 ncall:1.0e+03 eff:0.1% logz-ratio=-598.33+/-0.12 dlogz:inf>0.1]
25it [00:40,  1.27it/s, bound:1 nc: 15 ncall:1.4e+03 eff:1.8% logz-ratio=-484.58+/-0.11 dlogz:274.430>0.1]
49it [00:52,  1.57it/s, bound:2 nc: 31 ncall:2.1e+03 eff:2.3% logz-ratio=-446.27+/-0.11 dlogz:234.309>0.1]
73it [01:07,  1.61it/s, bound:3 nc: 21 ncall:2.6e+03 eff:2.8% logz-ratio=-418.97+/-0.10 dlogz:206.685>0.1]
88it [01:07,  2.26it/s, bound:4 nc:  1 ncall:3.5e+03 eff:19.4% logz-ratio=-242.42+/-0.22 dlogz:25.376>0.1]
96it [01:20,  2.26it/s, bound:4 nc: 24 ncall:3.2e+03 eff:3.0% logz-ratio=-403.47+/-0.10 dlogz:190.919>0.1]
97it [01:55,  1.43s/it, bound:4 nc: 24 ncall:3.2e+03 eff:3.0% logz-ratio=-402.95+/-0.10 dlogz:190.228>0.1]
121it [02:09,  1.05s/it, bound:7 nc: 66 ncall:4.8e+03 eff:2.5% logz-ratio=-386.09+/-0.10 dlogz:173.111>0.1]
145it [02:24,  1.13it/s, bound:7 nc: 22 ncall:5.3e+03 eff:2.7% logz-ratio=-378.08+/-0.09 dlogz:165.065>0.1]
152it [02:24,  1.30it/s, bound:8 nc: 25 ncall:5.5e+03 eff:2.8% logz-ratio=-375.53+/-0.06 dlogz:162.591>0.1]
168it [02:40,  1.30it/s, bound:8 nc: 25 ncall:5.9e+03 eff:2.9% logz-ratio=-367.51+/-0.10 dlogz:154.629>0.1]
169it [02:50,  1.01s/it, bound:8 nc: 25 ncall:5.9e+03 eff:2.9% logz-ratio=-367.08+/-0.10 dlogz:154.126>0.1]
193it [03:09,  1.07it/s, bound:10 nc: 44 ncall:7.0e+03 eff:2.8% logz-ratio=-359.65+/-0.10 dlogz:146.640>0.1]
217it [03:32,  1.07it/s, bound:11 nc: 32 ncall:7.7e+03 eff:2.8% logz-ratio=-352.18+/-0.09 dlogz:138.933>0.1]
224it [03:32,  1.23it/s, bound:12 nc: 37 ncall:8.0e+03 eff:2.8% logz-ratio=-350.70+/-0.04 dlogz:137.412>0.1]
