
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  9 ncall:5.1e+02 eff:0.2% logz-ratio=-743.33+/-0.12 dlogz:inf>0.1]
2it [00:00,  6.97it/s, bound:0 nc:  6 ncall:5.2e+02 eff:0.4% logz-ratio=-608.02+/-0.12 dlogz:529.106>0.1]
3it [00:00,  7.71it/s, bound:0 nc:  5 ncall:5.2e+02 eff:0.6% logz-ratio=-592.36+/-0.12 dlogz:393.789>0.1]
4it [00:00,  4.96it/s, bound:0 nc: 12 ncall:5.3e+02 eff:0.8% logz-ratio=-585.21+/-0.12 dlogz:378.127>0.1]
6it [00:00,  7.40it/s, bound:0 nc:  5 ncall:5.4e+02 eff:1.1% logz-ratio=-548.93+/-0.11 dlogz:337.301>0.1]
7it [00:01,  5.38it/s, bound:0 nc: 13 ncall:5.5e+02 eff:1.3% logz-ratio=-547.03+/-0.11 dlogz:334.690>0.1]
8it [00:01,  4.00it/s, bound:0 nc: 17 ncall:5.7e+02 eff:1.4% logz-ratio=-543.26+/-0.12 dlogz:332.787>0.1]
10it [00:01,  4.96it/s, bound:0 nc: 10 ncall:5.8e+02 eff:1.7% logz-ratio=-532.54+/-0.12 dlogz:326.708>0.1]
11it [00:02,  4.07it/s, bound:0 nc: 16 ncall:6.0e+02 eff:1.8% logz-ratio=-530.75+/-0.11 dlogz:318.299>0.1]
12it [00:02,  4.20it/s, bound:0 nc:  9 ncall:6.1e+02 eff:2.0% logz-ratio=-529.85+/-0.10 dlogz:316.506>0.1]
14it [00:02,  4.59it/s, bound:0 nc: 15 ncall:6.2e+02 eff:2.3% logz-ratio=-517.45+/-0.11 dlogz:306.467>0.1]
15it [00:03,  3.26it/s, bound:0 nc: 25 ncall:6.5e+02 eff:2.3% logz-ratio=-513.84+/-0.12 dlogz:303.197>0.1]
16it [00:03,  3.85it/s, bound:0 nc:  5 ncall:6.5e+02 eff:2.5% logz-ratio=-512.16+/-0.11 dlogz:299.586>0.1]
17it [00:04,  2.51it/s, bound:0 nc: 33 ncall:6.8e+02 eff:2.5% logz-ratio=-511.16+/-0.10 dlogz:297.900>0.1]
18it [00:04,  2.87it/s, bound:0 nc:  9 ncall:6.9e+02 eff:2.6% logz-ratio=-510.20+/-0.10 dlogz:296.898>0.1]
