
1it [00:00, ?it/s]
3it [00:00, 14.69it/s, bound:0 nc:  3 ncall:5.1e+02 eff:0.6% logz-ratio=-508.99+/-0.12 dlogz:313.110>0.1]
7it [00:00, 26.59it/s, bound:0 nc:  2 ncall:5.1e+02 eff:1.4% logz-ratio=-473.16+/-0.12 dlogz:280.328>0.1]
10it [00:00, 27.18it/s, bound:0 nc:  3 ncall:5.2e+02 eff:1.9% logz-ratio=-453.43+/-0.12 dlogz:254.096>0.1]
13it [00:00, 27.48it/s, bound:0 nc:  1 ncall:5.2e+02 eff:2.5% logz-ratio=-441.04+/-0.11 dlogz:236.907>0.1]
16it [00:00, 19.42it/s, bound:0 nc:  2 ncall:5.3e+02 eff:3.0% logz-ratio=-432.96+/-0.11 dlogz:230.028>0.1]
19it [00:00, 20.57it/s, bound:0 nc:  1 ncall:5.4e+02 eff:3.5% logz-ratio=-426.83+/-0.11 dlogz:223.684>0.1]
22it [00:00, 20.35it/s, bound:0 nc:  5 ncall:5.4e+02 eff:4.0% logz-ratio=-424.38+/-0.10 dlogz:219.769>0.1]
25it [00:01, 22.20it/s, bound:0 nc:  2 ncall:5.5e+02 eff:4.5% logz-ratio=-421.37+/-0.10 dlogz:216.710>0.1]
28it [00:01, 23.65it/s, bound:0 nc:  1 ncall:5.6e+02 eff:5.0% logz-ratio=-417.85+/-0.11 dlogz:213.534>0.1]
31it [00:01, 23.58it/s, bound:0 nc:  1 ncall:5.6e+02 eff:5.5% logz-ratio=-409.35+/-0.10 dlogz:204.887>0.1]
34it [00:01, 21.28it/s, bound:0 nc:  2 ncall:5.7e+02 eff:6.0% logz-ratio=-407.87+/-0.10 dlogz:202.952>0.1]
37it [00:01, 22.79it/s, bound:0 nc:  3 ncall:5.7e+02 eff:6.4% logz-ratio=-404.53+/-0.11 dlogz:200.636>0.1]
41it [00:01, 25.27it/s, bound:0 nc:  3 ncall:5.8e+02 eff:7.1% logz-ratio=-395.80+/-0.10 dlogz:191.140>0.1]
44it [00:01, 25.98it/s, bound:0 nc:  2 ncall:5.8e+02 eff:7.5% logz-ratio=-391.81+/-0.11 dlogz:188.353>0.1]
47it [00:02, 20.78it/s, bound:0 nc:  3 ncall:6.0e+02 eff:7.9% logz-ratio=-387.74+/-0.11 dlogz:184.774>0.1]
50it [00:02, 16.82it/s, bound:0 nc:  4 ncall:6.1e+02 eff:8.2% logz-ratio=-381.85+/-0.10 dlogz:177.070>0.1]
53it [00:02, 18.26it/s, bound:0 nc:  2 ncall:6.1e+02 eff:8.6% logz-ratio=-379.59+/-0.10 dlogz:174.782>0.1]
56it [00:02, 20.35it/s, bound:0 nc:  2 ncall:6.2e+02 eff:9.1% logz-ratio=-372.44+/-0.11 dlogz:168.488>0.1]
