
1it [00:00, ?it/s]
4it [00:00, 24.11it/s, bound:0 nc:  7 ncall:5.2e+02 eff:0.8% logz-ratio=-741.24+/-0.11 dlogz:465.005>0.1]
8it [00:00, 28.48it/s, bound:0 nc:  7 ncall:5.5e+02 eff:1.5% logz-ratio=-728.63+/-0.10 dlogz:450.168>0.1]
12it [00:00, 30.33it/s, bound:0 nc:  9 ncall:5.6e+02 eff:2.1% logz-ratio=-685.99+/-0.12 dlogz:419.103>0.1]
16it [00:00, 31.08it/s, bound:0 nc:  4 ncall:5.8e+02 eff:2.7% logz-ratio=-657.22+/-0.12 dlogz:391.362>0.1]
20it [00:00, 31.23it/s, bound:0 nc: 22 ncall:6.1e+02 eff:3.3% logz-ratio=-643.23+/-0.11 dlogz:365.616>0.1]
24it [00:00, 28.79it/s, bound:0 nc:  6 ncall:6.5e+02 eff:3.7% logz-ratio=-620.65+/-0.12 dlogz:346.142>0.1]
27it [00:00, 27.38it/s, bound:0 nc: 12 ncall:6.8e+02 eff:4.0% logz-ratio=-607.54+/-0.12 dlogz:338.310>0.1]
30it [00:01, 27.86it/s, bound:0 nc:  2 ncall:7.2e+02 eff:4.1% logz-ratio=-603.40+/-0.11 dlogz:325.260>0.1]
34it [00:01, 29.34it/s, bound:0 nc:  7 ncall:7.4e+02 eff:4.6% logz-ratio=-591.32+/-0.11 dlogz:313.163>0.1]
37it [00:01, 27.58it/s, bound:0 nc:  9 ncall:7.7e+02 eff:4.8% logz-ratio=-584.61+/-0.11 dlogz:307.095>0.1]
41it [00:01, 28.68it/s, bound:0 nc:  4 ncall:8.1e+02 eff:5.1% logz-ratio=-579.30+/-0.11 dlogz:301.834>0.1]
45it [00:01, 29.37it/s, bound:0 nc:  2 ncall:8.5e+02 eff:5.3% logz-ratio=-573.36+/-0.11 dlogz:295.193>0.1]
49it [00:01, 30.18it/s, bound:0 nc:  9 ncall:8.7e+02 eff:5.6% logz-ratio=-569.75+/-0.11 dlogz:291.612>0.1]
53it [00:01, 30.69it/s, bound:0 nc:  8 ncall:8.9e+02 eff:5.9% logz-ratio=-565.32+/-0.10 dlogz:286.583>0.1]
57it [00:01, 31.25it/s, bound:0 nc:  2 ncall:9.1e+02 eff:6.3% logz-ratio=-557.64+/-0.11 dlogz:279.785>0.1]
61it [00:02, 31.27it/s, bound:0 nc:  1 ncall:9.4e+02 eff:6.5% logz-ratio=-552.40+/-0.11 dlogz:274.298>0.1]
65it [00:02, 31.18it/s, bound:0 nc:  5 ncall:9.8e+02 eff:6.6% logz-ratio=-548.88+/-0.10 dlogz:269.812>0.1]
69it [00:02, 31.62it/s, bound:0 nc:  1 ncall:1.0e+03 eff:6.9% logz-ratio=-546.63+/-0.10 dlogz:267.737>0.1]
70it [00:20, 31.62it/s, bound:0 nc:  1 ncall:1.0e+03 eff:7.0% logz-ratio=-545.82+/-0.10 dlogz:266.975>0.1]
71it [00:43,  3.68s/it, bound:1 nc: 62 ncall:1.1e+03 eff:6.7% logz-ratio=-545.27+/-0.10 dlogz:266.162>0.1]
95it [01:19,  2.03s/it, bound:3 nc: 59 ncall:2.5e+03 eff:3.8% logz-ratio=-527.11+/-0.10 dlogz:248.085>0.1]
118it [01:47,  1.63s/it, bound:5 nc: 52 ncall:3.7e+03 eff:3.2% logz-ratio=-510.36+/-0.10 dlogz:231.140>0.1]
