
1it [00:00, ?it/s]
1it [00:01, ?it/s, bound:0 nc: 41 ncall:5.4e+02 eff:0.2% logz-ratio=-2451.73+/-0.12 dlogz:inf>0.1]
2it [00:02,  1.21it/s, bound:0 nc: 18 ncall:5.6e+02 eff:0.4% logz-ratio=-2440.46+/-0.12 dlogz:1820.964>0.1]
3it [00:03,  1.07it/s, bound:0 nc: 22 ncall:5.8e+02 eff:0.5% logz-ratio=-2261.95+/-0.12 dlogz:1809.691>0.1]
4it [00:03,  1.63it/s, bound:0 nc:  5 ncall:5.9e+02 eff:0.7% logz-ratio=-2133.18+/-0.12 dlogz:1631.180>0.1]
5it [00:10,  2.98s/it, bound:0 nc:144 ncall:7.3e+02 eff:0.7% logz-ratio=-2129.31+/-0.12 dlogz:1502.402>0.1]
6it [00:12,  2.67s/it, bound:0 nc: 46 ncall:7.8e+02 eff:0.8% logz-ratio=-2110.20+/-0.12 dlogz:1498.532>0.1]
7it [00:15,  2.65s/it, bound:0 nc: 57 ncall:8.3e+02 eff:0.8% logz-ratio=-2074.54+/-0.12 dlogz:1479.419>0.1]
8it [00:16,  2.04s/it, bound:0 nc: 17 ncall:8.5e+02 eff:0.9% logz-ratio=-2051.52+/-0.12 dlogz:1443.758>0.1]
9it [00:17,  1.85s/it, bound:0 nc: 31 ncall:8.8e+02 eff:1.0% logz-ratio=-2039.67+/-0.12 dlogz:1420.737>0.1]
10it [00:18,  1.60s/it, bound:0 nc: 23 ncall:9.0e+02 eff:1.1% logz-ratio=-1967.93+/-0.12 dlogz:1408.884>0.1]
11it [00:18,  1.18s/it, bound:0 nc:  5 ncall:9.1e+02 eff:1.2% logz-ratio=-1939.22+/-0.12 dlogz:1337.140>0.1]
12it [00:19,  1.09it/s, bound:0 nc:  7 ncall:9.2e+02 eff:1.3% logz-ratio=-1872.25+/-0.12 dlogz:1308.433>0.1]
13it [00:22,  1.78s/it, bound:0 nc: 82 ncall:1.0e+03 eff:1.3% logz-ratio=-1846.45+/-0.12 dlogz:1241.464>0.1]
14it [01:09, 15.46s/it, bound:1 nc: 44 ncall:1.0e+03 eff:1.3% logz-ratio=-1840.98+/-0.12 dlogz:1215.658>0.1]
33it [01:09,  1.68s/it, bound:2 nc:  1 ncall:2.3e+03 eff:27.1% logz-ratio=-735.28+/-nan dlogz:101.812>0.1]  
35it [01:20,  1.68s/it, bound:2 nc: 42 ncall:1.9e+03 eff:1.8% logz-ratio=-1556.51+/-0.12 dlogz:939.266>0.1]
36it [03:20,  8.69s/it, bound:2 nc: 42 ncall:2.0e+03 eff:1.8% logz-ratio=-1554.88+/-0.11 dlogz:925.674>0.1]
47it [03:20,  4.63s/it, bound:4 nc:  1 ncall:3.6e+03 eff:16.6% logz-ratio=-723.57+/-0.04 dlogz:89.633>0.1] 
59it [03:40,  4.63s/it, bound:6 nc:108 ncall:4.4e+03 eff:1.3% logz-ratio=-1433.64+/-0.11 dlogz:804.572>0.1]
60it [04:09,  4.24s/it, bound:6 nc:108 ncall:4.6e+03 eff:1.3% logz-ratio=-1432.58+/-0.11 dlogz:802.752>0.1]
66it [04:09,  3.29s/it, bound:6 nc: 43 ncall:4.8e+03 eff:1.4% logz-ratio=-1386.68+/-0.12 dlogz:766.721>0.1]
83it [04:20,  3.29s/it, bound:8 nc: 43 ncall:5.5e+03 eff:1.5% logz-ratio=-1316.29+/-0.12 dlogz:691.939>0.1]
84it [04:51,  2.84s/it, bound:8 nc: 43 ncall:5.6e+03 eff:1.5% logz-ratio=-1314.42+/-0.11 dlogz:685.360>0.1]
92it [04:52,  2.16s/it, bound:8 nc:  1 ncall:6.4e+03 eff:10.0% logz-ratio=-660.12+/-0.35 dlogz:24.048>0.1] 
