
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  9 ncall:5.1e+02 eff:0.2% logz-ratio=-2324.10+/-0.12 dlogz:inf>0.1]
2it [00:00,  3.14it/s, bound:0 nc:  7 ncall:5.2e+02 eff:0.4% logz-ratio=-2119.16+/-0.12 dlogz:1676.836>0.1]
3it [00:01,  2.36it/s, bound:0 nc: 11 ncall:5.3e+02 eff:0.6% logz-ratio=-2005.60+/-0.12 dlogz:1471.899>0.1]
5it [00:01,  4.35it/s, bound:0 nc:  3 ncall:5.3e+02 eff:0.9% logz-ratio=-1942.27+/-0.12 dlogz:1333.900>0.1]
6it [00:02,  2.01it/s, bound:0 nc: 24 ncall:5.6e+02 eff:1.1% logz-ratio=-1832.31+/-0.12 dlogz:1294.998>0.1]
7it [00:03,  1.80it/s, bound:0 nc: 15 ncall:5.7e+02 eff:1.2% logz-ratio=-1830.96+/-0.11 dlogz:1185.033>0.1]
8it [00:04,  1.61it/s, bound:0 nc: 17 ncall:5.9e+02 eff:1.4% logz-ratio=-1790.17+/-0.12 dlogz:1183.685>0.1]
9it [00:06,  1.28s/it, bound:0 nc: 61 ncall:6.5e+02 eff:1.4% logz-ratio=-1731.39+/-0.12 dlogz:1142.898>0.1]
11it [00:08,  1.09s/it, bound:0 nc: 36 ncall:6.9e+02 eff:1.6% logz-ratio=-1702.11+/-0.12 dlogz:1082.946>0.1]
12it [00:08,  1.15it/s, bound:0 nc:  5 ncall:6.9e+02 eff:1.7% logz-ratio=-1700.47+/-0.11 dlogz:1054.829>0.1]
13it [00:09,  1.10it/s, bound:0 nc: 22 ncall:7.1e+02 eff:1.8% logz-ratio=-1684.37+/-0.12 dlogz:1053.186>0.1]
14it [00:11,  1.16s/it, bound:0 nc: 40 ncall:7.5e+02 eff:1.9% logz-ratio=-1680.30+/-0.12 dlogz:1037.086>0.1]
15it [00:11,  1.11it/s, bound:0 nc:  5 ncall:7.6e+02 eff:2.0% logz-ratio=-1674.16+/-0.12 dlogz:1033.009>0.1]
