
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc: 18 ncall:5.2e+02 eff:0.2% logz-ratio=-1092.07+/-0.12 dlogz:inf>0.1]
4it [00:00, 24.14it/s, bound:0 nc: 10 ncall:5.4e+02 eff:0.7% logz-ratio=-897.56+/-0.12 dlogz:631.312>0.1]
6it [00:00,  8.78it/s, bound:0 nc: 56 ncall:6.3e+02 eff:0.9% logz-ratio=-830.71+/-0.12 dlogz:538.550>0.1]
8it [00:00,  9.73it/s, bound:0 nc: 12 ncall:6.8e+02 eff:1.2% logz-ratio=-797.76+/-0.12 dlogz:509.123>0.1]
10it [00:00, 11.46it/s, bound:0 nc:  1 ncall:7.0e+02 eff:1.4% logz-ratio=-768.20+/-0.11 dlogz:473.766>0.1]
12it [00:01, 12.63it/s, bound:0 nc: 25 ncall:7.3e+02 eff:1.7% logz-ratio=-748.32+/-0.12 dlogz:466.061>0.1]
15it [00:01, 14.55it/s, bound:0 nc: 20 ncall:7.5e+02 eff:2.0% logz-ratio=-723.03+/-0.11 dlogz:427.966>0.1]
17it [00:01, 11.69it/s, bound:0 nc: 14 ncall:8.2e+02 eff:2.1% logz-ratio=-710.11+/-0.12 dlogz:420.375>0.1]
19it [00:01,  9.76it/s, bound:0 nc: 35 ncall:8.6e+02 eff:2.2% logz-ratio=-708.46+/-0.10 dlogz:412.334>0.1]
21it [00:01, 11.06it/s, bound:0 nc:  9 ncall:8.8e+02 eff:2.4% logz-ratio=-705.63+/-0.11 dlogz:410.279>0.1]
23it [00:02, 10.64it/s, bound:0 nc:  2 ncall:9.1e+02 eff:2.5% logz-ratio=-688.92+/-0.12 dlogz:402.531>0.1]
25it [00:02, 11.11it/s, bound:0 nc:  5 ncall:9.2e+02 eff:2.7% logz-ratio=-672.05+/-0.12 dlogz:387.667>0.1]
27it [00:02, 11.37it/s, bound:0 nc: 12 ncall:9.5e+02 eff:2.8% logz-ratio=-660.67+/-0.11 dlogz:366.959>0.1]
29it [00:02, 11.58it/s, bound:0 nc: 15 ncall:9.8e+02 eff:3.0% logz-ratio=-651.15+/-0.12 dlogz:358.036>0.1]
31it [00:02, 10.40it/s, bound:0 nc:  2 ncall:1.0e+03 eff:3.1% logz-ratio=-646.16+/-0.11 dlogz:352.169>0.1]
31it [00:20, 10.40it/s, bound:0 nc:  2 ncall:1.0e+03 eff:3.1% logz-ratio=-646.16+/-0.11 dlogz:352.169>0.1]
32it [00:49,  8.34s/it, bound:1 nc: 60 ncall:1.1e+03 eff:3.0% logz-ratio=-642.78+/-0.12 dlogz:349.458>0.1]
54it [01:39,  3.17s/it, bound:3 nc: 55 ncall:2.3e+03 eff:2.4% logz-ratio=-607.84+/-0.11 dlogz:313.340>0.1]
76it [02:24,  2.56s/it, bound:5 nc: 60 ncall:3.6e+03 eff:2.1% logz-ratio=-580.57+/-0.11 dlogz:285.862>0.1]
101it [03:11,  2.25s/it, bound:7 nc: 51 ncall:4.9e+03 eff:2.1% logz-ratio=-557.38+/-0.10 dlogz:261.572>0.1]
126it [04:14,  2.36s/it, bound:9 nc: 54 ncall:6.2e+03 eff:2.0% logz-ratio=-539.08+/-0.10 dlogz:242.880>0.1]
150it [05:00,  2.20s/it, bound:12 nc: 68 ncall:7.8e+03 eff:1.9% logz-ratio=-522.20+/-0.10 dlogz:225.899>0.1]
171it [06:10,  2.55s/it, bound:13 nc: 54 ncall:9.0e+03 eff:1.9% logz-ratio=-511.54+/-0.10 dlogz:215.103>0.1]
196it [07:06,  2.44s/it, bound:16 nc: 78 ncall:1.1e+04 eff:1.8% logz-ratio=-499.34+/-0.10 dlogz:205.796>0.1]
219it [08:06,  2.49s/it, bound:19 nc: 64 ncall:1.2e+04 eff:1.8% logz-ratio=-486.86+/-0.10 dlogz:193.122>0.1]
220it [08:06,  2.44s/it, bound:19 nc:  1 ncall:1.3e+04 eff:5.7% logz-ratio=-316.95+/-0.54 dlogz:18.516>0.1] 
222it [08:19,  2.66s/it, bound:19 nc: 69 ncall:1.3e+04 eff:1.8% logz-ratio=-486.04+/-0.06 dlogz:192.325>0.1]
244it [09:03,  2.36s/it, bound:22 nc: 69 ncall:1.4e+04 eff:1.7% logz-ratio=-476.45+/-0.10 dlogz:182.893>0.1]
268it [10:02,  2.39s/it, bound:23 nc: 48 ncall:1.5e+04 eff:1.8% logz-ratio=-465.89+/-0.10 dlogz:172.073>0.1]
291it [10:52,  2.32s/it, bound:26 nc: 68 ncall:1.7e+04 eff:1.7% logz-ratio=-458.35+/-0.10 dlogz:164.692>0.1]
315it [11:31,  2.08s/it, bound:28 nc: 62 ncall:1.8e+04 eff:1.7% logz-ratio=-450.63+/-0.10 dlogz:156.790>0.1]
339it [12:32,  2.23s/it, bound:30 nc: 45 ncall:1.9e+04 eff:1.7% logz-ratio=-445.39+/-0.09 dlogz:151.354>0.1]
364it [13:30,  2.26s/it, bound:33 nc: 70 ncall:2.1e+04 eff:1.7% logz-ratio=-441.72+/-0.09 dlogz:147.558>0.1]
389it [14:28,  2.27s/it, bound:35 nc: 65 ncall:2.3e+04 eff:1.7% logz-ratio=-436.92+/-0.09 dlogz:142.725>0.1]
413it [15:42,  2.53s/it, bound:38 nc: 67 ncall:2.4e+04 eff:1.7% logz-ratio=-433.35+/-0.09 dlogz:139.071>0.1]
422it [15:42,  2.17s/it, bound:39 nc: 81 ncall:2.5e+04 eff:1.7% logz-ratio=-431.50+/-0.09 dlogz:137.449>0.1]
437it [16:00,  2.17s/it, bound:41 nc: 81 ncall:2.6e+04 eff:1.7% logz-ratio=-426.88+/-0.10 dlogz:132.662>0.1]
438it [16:46,  2.66s/it, bound:41 nc: 81 ncall:2.6e+04 eff:1.7% logz-ratio=-426.68+/-0.10 dlogz:132.436>0.1]
462it [17:47,  2.61s/it, bound:44 nc: 73 ncall:2.8e+04 eff:1.6% logz-ratio=-423.21+/-0.09 dlogz:128.862>0.1]
486it [19:12,  2.93s/it, bound:46 nc: 71 ncall:3.0e+04 eff:1.6% logz-ratio=-419.54+/-0.09 dlogz:125.146>0.1]
509it [20:11,  2.81s/it, bound:50 nc: 97 ncall:3.2e+04 eff:1.6% logz-ratio=-416.61+/-0.09 dlogz:122.152>0.1]
532it [21:10,  2.74s/it, bound:52 nc: 69 ncall:3.4e+04 eff:1.6% logz-ratio=-412.61+/-0.09 dlogz:118.116>0.1]
555it [22:00,  2.57s/it, bound:55 nc: 66 ncall:3.5e+04 eff:1.6% logz-ratio=-407.93+/-0.10 dlogz:113.484>0.1]
578it [22:14,  1.96s/it, bound:57 nc: 56 ncall:3.6e+04 eff:1.6% logz-ratio=-403.98+/-0.04 dlogz:109.409>0.1]
580it [23:19,  3.09s/it, bound:57 nc: 56 ncall:3.7e+04 eff:1.6% logz-ratio=-403.67+/-0.06 dlogz:109.102>0.1]
605it [24:19,  2.81s/it, bound:60 nc: 71 ncall:3.8e+04 eff:1.6% logz-ratio=-400.26+/-0.09 dlogz:105.659>0.1]
629it [25:33,  2.90s/it, bound:62 nc: 69 ncall:4.0e+04 eff:1.6% logz-ratio=-397.77+/-0.09 dlogz:103.046>0.1]
651it [26:41,  2.96s/it, bound:65 nc: 85 ncall:4.2e+04 eff:1.6% logz-ratio=-395.21+/-0.09 dlogz:100.422>0.1]
676it [27:31,  2.64s/it, bound:68 nc: 77 ncall:4.4e+04 eff:1.5% logz-ratio=-392.64+/-0.09 dlogz:112.537>0.1]
699it [29:27,  3.38s/it, bound:70 nc: 56 ncall:4.5e+04 eff:1.5% logz-ratio=-390.34+/-0.09 dlogz:110.202>0.1]
723it [30:50,  3.40s/it, bound:75 nc:135 ncall:4.8e+04 eff:1.5% logz-ratio=-387.95+/-0.09 dlogz:107.770>0.1]
745it [30:50,  2.41s/it, bound:78 nc: 91 ncall:5.0e+04 eff:1.5% logz-ratio=-385.84+/-0.09 dlogz:105.615>0.1]
746it [31:10,  2.41s/it, bound:78 nc: 91 ncall:5.0e+04 eff:1.5% logz-ratio=-385.73+/-0.09 dlogz:105.505>0.1]
747it [31:49,  3.40s/it, bound:78 nc: 91 ncall:5.1e+04 eff:1.5% logz-ratio=-385.63+/-0.09 dlogz:105.395>0.1]
770it [33:07,  3.40s/it, bound:81 nc: 71 ncall:5.2e+04 eff:1.5% logz-ratio=-382.96+/-0.09 dlogz:102.658>0.1]
794it [34:21,  3.28s/it, bound:84 nc: 90 ncall:5.4e+04 eff:1.5% logz-ratio=-381.18+/-0.09 dlogz:100.838>0.1]
819it [35:21,  2.98s/it, bound:88 nc: 82 ncall:5.6e+04 eff:1.5% logz-ratio=-378.95+/-0.09 dlogz:98.568>0.1] 
842it [37:08,  3.51s/it, bound:90 nc: 69 ncall:5.8e+04 eff:1.5% logz-ratio=-376.16+/-0.10 dlogz:95.735>0.1]
863it [37:09,  2.49s/it, bound:94 nc:  1 ncall:6.1e+04 eff:2.3% logz-ratio=-287.48+/-1.13 dlogz:1.099>0.1] 
863it [37:20,  2.49s/it, bound:94 nc:  1 ncall:6.1e+04 eff:2.3% logz-ratio=-287.48+/-1.13 dlogz:1.099>0.1]
864it [39:07,  4.75s/it, bound:94 nc:121 ncall:6.1e+04 eff:1.4% logz-ratio=-374.02+/-0.03 dlogz:93.536>0.1]
888it [40:14,  3.96s/it, bound:99 nc:121 ncall:6.4e+04 eff:1.4% logz-ratio=-371.97+/-0.09 dlogz:91.422>0.1]
912it [41:41,  3.83s/it, bound:102 nc: 76 ncall:6.5e+04 eff:1.4% logz-ratio=-370.15+/-0.09 dlogz:89.554>0.1]
937it [42:48,  3.43s/it, bound:106 nc: 95 ncall:6.8e+04 eff:1.4% logz-ratio=-368.48+/-0.09 dlogz:87.843>0.1]
961it [44:39,  3.82s/it, bound:109 nc: 77 ncall:7.0e+04 eff:1.4% logz-ratio=-366.64+/-0.09 dlogz:85.948>0.1]
985it [44:39,  2.61s/it, bound:113 nc:  1 ncall:7.3e+04 eff:2.0% logz-ratio=-312.47+/-0.34 dlogz:27.927>0.1]
985it [44:50,  2.61s/it, bound:113 nc:  1 ncall:7.3e+04 eff:2.0% logz-ratio=-287.72+/-1.17 dlogz:1.099>0.1] 
986it [45:35,  3.60s/it, bound:114 nc:123 ncall:7.3e+04 eff:1.4% logz-ratio=-365.18+/-0.02 dlogz:84.418>0.1]
