
1it [00:00, ?it/s]
2it [00:00,  8.18it/s, bound:0 nc:  6 ncall:5.2e+02 eff:0.4% logz-ratio=-2660.92+/-0.12 dlogz:569.404>0.1]
4it [00:00, 10.88it/s, bound:0 nc:  5 ncall:5.4e+02 eff:0.7% logz-ratio=-2653.94+/-0.11 dlogz:542.995>0.1]
6it [00:00, 10.22it/s, bound:0 nc:  3 ncall:5.8e+02 eff:1.0% logz-ratio=-2623.60+/-0.12 dlogz:519.773>0.1]
8it [00:00,  7.43it/s, bound:0 nc: 47 ncall:6.5e+02 eff:1.2% logz-ratio=-2619.35+/-0.11 dlogz:507.634>0.1]
9it [00:01,  5.00it/s, bound:0 nc:100 ncall:7.5e+02 eff:1.2% logz-ratio=-2616.38+/-0.11 dlogz:505.373>0.1]
11it [00:01,  6.43it/s, bound:0 nc: 39 ncall:8.2e+02 eff:1.3% logz-ratio=-2611.30+/-0.11 dlogz:500.017>0.1]
13it [00:01,  7.70it/s, bound:0 nc: 26 ncall:8.6e+02 eff:1.5% logz-ratio=-2596.06+/-0.12 dlogz:490.809>0.1]
16it [00:02,  7.48it/s, bound:0 nc: 86 ncall:9.5e+02 eff:1.7% logz-ratio=-2568.13+/-0.12 dlogz:461.474>0.1]
18it [00:02,  8.90it/s, bound:0 nc: 17 ncall:9.7e+02 eff:1.9% logz-ratio=-2558.24+/-0.11 dlogz:446.137>0.1]
19it [00:20,  8.90it/s, bound:0 nc: 15 ncall:9.9e+02 eff:1.9% logz-ratio=-2550.13+/-0.12 dlogz:444.245>0.1]
20it [00:52,  7.48s/it, bound:1 nc: 72 ncall:1.1e+03 eff:1.9% logz-ratio=-2539.44+/-0.12 dlogz:436.134>0.1]
43it [01:47,  3.29s/it, bound:3 nc: 59 ncall:2.4e+03 eff:1.8% logz-ratio=-2449.11+/-0.10 dlogz:335.937>0.1]
67it [02:38,  2.63s/it, bound:5 nc: 64 ncall:4.0e+03 eff:1.7% logz-ratio=-2408.66+/-0.11 dlogz:295.910>0.1]
91it [03:18,  2.20s/it, bound:7 nc: 58 ncall:5.3e+03 eff:1.7% logz-ratio=-2382.53+/-0.09 dlogz:268.689>0.1]
114it [04:08,  2.20s/it, bound:9 nc: 46 ncall:6.4e+03 eff:1.8% logz-ratio=-2360.10+/-0.11 dlogz:247.108>0.1]
138it [05:10,  2.34s/it, bound:11 nc: 61 ncall:7.9e+03 eff:1.8% logz-ratio=-2340.24+/-0.11 dlogz:227.021>0.1]
162it [06:08,  2.36s/it, bound:14 nc: 76 ncall:9.7e+03 eff:1.7% logz-ratio=-2329.12+/-0.09 dlogz:215.114>0.1]
186it [07:17,  2.52s/it, bound:17 nc: 65 ncall:1.1e+04 eff:1.7% logz-ratio=-2317.62+/-0.10 dlogz:207.035>0.1]
203it [07:17,  1.90s/it, bound:19 nc:  1 ncall:1.3e+04 eff:5.5% logz-ratio=-2141.97+/-0.17 dlogz:26.916>0.1] 
203it [07:30,  1.90s/it, bound:19 nc:  1 ncall:1.3e+04 eff:5.6% logz-ratio=-2118.06+/-0.62 dlogz:1.044>0.1] 
204it [07:30,  2.13s/it, bound:19 nc: 77 ncall:1.3e+04 eff:1.6% logz-ratio=-2308.48+/-0.07 dlogz:197.966>0.1]
210it [08:27,  3.23s/it, bound:20 nc: 63 ncall:1.3e+04 eff:1.6% logz-ratio=-2305.02+/-0.10 dlogz:194.241>0.1]
234it [09:16,  2.67s/it, bound:22 nc: 63 ncall:1.5e+04 eff:1.6% logz-ratio=-2297.55+/-0.10 dlogz:186.546>0.1]
258it [10:24,  2.74s/it, bound:24 nc: 56 ncall:1.6e+04 eff:1.6% logz-ratio=-2289.36+/-0.10 dlogz:178.424>0.1]
282it [11:17,  2.55s/it, bound:27 nc: 78 ncall:1.8e+04 eff:1.6% logz-ratio=-2281.40+/-0.10 dlogz:170.417>0.1]
306it [12:16,  2.52s/it, bound:30 nc: 61 ncall:1.9e+04 eff:1.6% logz-ratio=-2273.54+/-0.10 dlogz:162.556>0.1]
330it [13:26,  2.65s/it, bound:32 nc: 68 ncall:2.1e+04 eff:1.6% logz-ratio=-2266.63+/-0.10 dlogz:155.423>0.1]
353it [14:30,  2.69s/it, bound:35 nc: 83 ncall:2.3e+04 eff:1.5% logz-ratio=-2259.64+/-0.10 dlogz:148.468>0.1]
377it [15:10,  2.36s/it, bound:38 nc: 74 ncall:2.5e+04 eff:1.5% logz-ratio=-2252.37+/-0.10 dlogz:141.137>0.1]
390it [15:10,  1.90s/it, bound:39 nc: 45 ncall:2.5e+04 eff:1.5% logz-ratio=-2248.89+/-0.10 dlogz:137.566>0.1]
400it [15:30,  1.90s/it, bound:39 nc: 45 ncall:2.6e+04 eff:1.6% logz-ratio=-2246.96+/-0.09 dlogz:135.502>0.1]
401it [16:14,  2.66s/it, bound:39 nc: 45 ncall:2.6e+04 eff:1.6% logz-ratio=-2246.81+/-0.09 dlogz:135.335>0.1]
426it [17:16,  2.59s/it, bound:42 nc: 74 ncall:2.8e+04 eff:1.5% logz-ratio=-2241.43+/-0.09 dlogz:129.900>0.1]
450it [18:36,  2.85s/it, bound:45 nc: 75 ncall:2.9e+04 eff:1.5% logz-ratio=-2238.10+/-0.09 dlogz:126.510>0.1]
474it [19:34,  2.71s/it, bound:49 nc: 93 ncall:3.2e+04 eff:1.5% logz-ratio=-2234.31+/-0.09 dlogz:122.740>0.1]
498it [20:36,  2.67s/it, bound:51 nc: 70 ncall:3.3e+04 eff:1.5% logz-ratio=-2230.02+/-0.09 dlogz:118.304>0.1]
523it [21:47,  2.71s/it, bound:54 nc: 70 ncall:3.5e+04 eff:1.5% logz-ratio=-2225.97+/-0.09 dlogz:114.224>0.1]
546it [22:00,  2.09s/it, bound:57 nc: 80 ncall:3.7e+04 eff:1.5% logz-ratio=-2223.15+/-0.03 dlogz:111.339>0.1]
547it [22:59,  3.10s/it, bound:57 nc: 80 ncall:3.7e+04 eff:1.5% logz-ratio=-2223.04+/-0.04 dlogz:111.229>0.1]
572it [24:10,  3.01s/it, bound:60 nc: 65 ncall:3.9e+04 eff:1.5% logz-ratio=-2219.57+/-0.09 dlogz:107.728>0.1]
595it [25:06,  2.81s/it, bound:62 nc: 83 ncall:4.0e+04 eff:1.5% logz-ratio=-2216.77+/-0.09 dlogz:104.867>0.1]
620it [26:17,  2.82s/it, bound:65 nc: 62 ncall:4.2e+04 eff:1.5% logz-ratio=-2214.01+/-0.09 dlogz:102.029>0.1]
644it [28:07,  3.38s/it, bound:68 nc: 85 ncall:4.4e+04 eff:1.5% logz-ratio=-2211.30+/-0.09 dlogz:99.271>0.1] 
665it [29:11,  3.29s/it, bound:72 nc:127 ncall:4.7e+04 eff:1.4% logz-ratio=-2208.49+/-0.10 dlogz:96.497>0.1]
689it [30:50,  3.55s/it, bound:75 nc: 71 ncall:4.8e+04 eff:1.4% logz-ratio=-2205.76+/-0.09 dlogz:94.710>0.1]
694it [30:50,  3.24s/it, bound:76 nc:115 ncall:4.9e+04 eff:1.4% logz-ratio=-2205.36+/-0.03 dlogz:94.307>0.1]
711it [31:10,  3.24s/it, bound:79 nc:115 ncall:5.1e+04 eff:1.4% logz-ratio=-2203.79+/-0.08 dlogz:92.725>0.1]
712it [32:11,  3.64s/it, bound:79 nc:115 ncall:5.1e+04 eff:1.4% logz-ratio=-2203.70+/-0.08 dlogz:92.623>0.1]
735it [33:39,  3.70s/it, bound:82 nc: 96 ncall:5.3e+04 eff:1.4% logz-ratio=-2201.40+/-0.09 dlogz:90.290>0.1]
759it [35:12,  3.76s/it, bound:86 nc:101 ncall:5.6e+04 eff:1.4% logz-ratio=-2198.75+/-0.10 dlogz:87.601>0.1]
784it [36:40,  3.68s/it, bound:90 nc:101 ncall:5.8e+04 eff:1.3% logz-ratio=-2196.48+/-0.09 dlogz:85.236>0.1]
809it [38:01,  3.54s/it, bound:94 nc: 97 ncall:6.1e+04 eff:1.3% logz-ratio=-2193.54+/-0.10 dlogz:82.321>0.1]
814it [38:16,  3.48s/it, bound:94 nc: 89 ncall:6.1e+04 eff:1.3% logz-ratio=-2192.87+/-0.03 dlogz:81.626>0.1]
833it [39:32,  3.65s/it, bound:97 nc: 89 ncall:6.3e+04 eff:1.3% logz-ratio=-2191.09+/-0.09 dlogz:79.752>0.1]
857it [41:21,  3.98s/it, bound:100 nc: 87 ncall:6.5e+04 eff:1.3% logz-ratio=-2189.33+/-0.09 dlogz:77.932>0.1]
880it [42:18,  3.47s/it, bound:105 nc:121 ncall:6.8e+04 eff:1.3% logz-ratio=-2188.14+/-0.09 dlogz:76.685>0.1]
903it [43:34,  3.42s/it, bound:107 nc: 65 ncall:6.9e+04 eff:1.3% logz-ratio=-2186.95+/-0.09 dlogz:75.454>0.1]
926it [44:29,  3.09s/it, bound:111 nc: 87 ncall:7.1e+04 eff:1.3% logz-ratio=-2185.39+/-0.09 dlogz:73.865>0.1]
950it [46:10,  3.45s/it, bound:113 nc: 62 ncall:7.3e+04 eff:1.3% logz-ratio=-2183.58+/-0.09 dlogz:72.014>0.1]
956it [46:10,  3.10s/it, bound:114 nc:117 ncall:7.3e+04 eff:1.3% logz-ratio=-2183.09+/-0.04 dlogz:71.519>0.1]
973it [46:30,  3.10s/it, bound:117 nc:117 ncall:7.5e+04 eff:1.3% logz-ratio=-2181.90+/-0.08 dlogz:70.286>0.1]
974it [47:42,  3.71s/it, bound:117 nc:110 ncall:7.5e+04 eff:1.3% logz-ratio=-2181.83+/-0.08 dlogz:70.207>0.1]
997it [49:12,  3.78s/it, bound:121 nc:110 ncall:7.8e+04 eff:1.3% logz-ratio=-2180.29+/-0.09 dlogz:68.616>0.1]
1022it [50:17,  3.37s/it, bound:125 nc:100 ncall:8.0e+04 eff:1.3% logz-ratio=-2178.68+/-0.09 dlogz:66.951>0.1]
1044it [51:46,  3.58s/it, bound:127 nc: 73 ncall:8.2e+04 eff:1.3% logz-ratio=-2177.50+/-0.09 dlogz:65.712>0.1]
1066it [53:02,  3.54s/it, bound:131 nc:101 ncall:8.4e+04 eff:1.3% logz-ratio=-2176.33+/-0.09 dlogz:64.514>0.1]
1077it [53:17,  3.14s/it, bound:133 nc: 86 ncall:8.5e+04 eff:1.3% logz-ratio=-2175.69+/-0.03 dlogz:63.856>0.1]
1089it [54:33,  3.84s/it, bound:134 nc: 86 ncall:8.6e+04 eff:1.3% logz-ratio=-2174.95+/-0.07 dlogz:63.076>0.1]
1113it [56:07,  3.87s/it, bound:137 nc: 84 ncall:8.8e+04 eff:1.3% logz-ratio=-2173.73+/-0.09 dlogz:61.817>0.1]
1136it [57:37,  3.89s/it, bound:141 nc:106 ncall:9.1e+04 eff:1.3% logz-ratio=-2172.25+/-0.10 dlogz:60.296>0.1]
1159it [59:05,  3.87s/it, bound:144 nc: 99 ncall:9.3e+04 eff:1.2% logz-ratio=-2170.94+/-0.10 dlogz:58.931>0.1]
