
1it [00:00, ?it/s]
1it [00:59, ?it/s, bound:1 nc:563 ncall:1.1e+03 eff:0.1% logz-ratio=-3039.02+/-0.12 dlogz:inf>0.1]
24it [01:54,  2.41s/it, bound:3 nc: 66 ncall:2.5e+03 eff:1.0% logz-ratio=-2641.12+/-0.11 dlogz:472.648>0.1]
46it [02:51,  2.50s/it, bound:5 nc: 66 ncall:4.0e+03 eff:1.2% logz-ratio=-2560.27+/-0.12 dlogz:394.068>0.1]
71it [03:53,  2.50s/it, bound:8 nc: 64 ncall:5.6e+03 eff:1.3% logz-ratio=-2512.92+/-0.11 dlogz:343.017>0.1]
95it [04:42,  2.32s/it, bound:10 nc: 69 ncall:7.2e+03 eff:1.3% logz-ratio=-2482.54+/-0.10 dlogz:311.651>0.1]
120it [05:34,  2.23s/it, bound:12 nc: 54 ncall:8.6e+03 eff:1.4% logz-ratio=-2459.57+/-0.11 dlogz:289.235>0.1]
144it [06:35,  2.34s/it, bound:15 nc: 60 ncall:1.0e+04 eff:1.4% logz-ratio=-2440.78+/-0.10 dlogz:269.762>0.1]
169it [07:28,  2.27s/it, bound:18 nc: 68 ncall:1.2e+04 eff:1.4% logz-ratio=-2425.19+/-0.10 dlogz:257.027>0.1]
193it [08:37,  2.45s/it, bound:20 nc: 64 ncall:1.3e+04 eff:1.5% logz-ratio=-2411.39+/-0.10 dlogz:243.069>0.1]
218it [09:41,  2.49s/it, bound:23 nc: 76 ncall:1.5e+04 eff:1.4% logz-ratio=-2399.88+/-0.10 dlogz:231.536>0.1]
219it [09:42,  2.47s/it, bound:23 nc:  1 ncall:1.5e+04 eff:1.4% logz-ratio=-2399.38+/-0.09 dlogz:230.722>0.1]
220it [11:10,  4.58s/it, bound:23 nc: 76 ncall:1.5e+04 eff:1.4% logz-ratio=-2399.38+/-0.04 dlogz:230.956>0.1]
241it [12:13,  3.91s/it, bound:26 nc: 76 ncall:1.7e+04 eff:1.4% logz-ratio=-2390.33+/-0.10 dlogz:222.023>0.1]
266it [12:57,  3.01s/it, bound:29 nc: 72 ncall:1.9e+04 eff:1.4% logz-ratio=-2377.70+/-0.10 dlogz:209.390>0.1]
290it [13:44,  2.63s/it, bound:31 nc: 52 ncall:2.0e+04 eff:1.5% logz-ratio=-2368.29+/-0.10 dlogz:199.804>0.1]
314it [14:51,  2.67s/it, bound:33 nc: 55 ncall:2.1e+04 eff:1.5% logz-ratio=-2361.61+/-0.10 dlogz:193.133>0.1]
337it [15:53,  2.68s/it, bound:36 nc: 78 ncall:2.3e+04 eff:1.5% logz-ratio=-2353.78+/-0.10 dlogz:185.153>0.1]
362it [17:05,  2.75s/it, bound:38 nc: 69 ncall:2.5e+04 eff:1.5% logz-ratio=-2345.90+/-0.10 dlogz:177.222>0.1]
386it [18:08,  2.72s/it, bound:41 nc: 81 ncall:2.7e+04 eff:1.4% logz-ratio=-2338.58+/-0.10 dlogz:169.823>0.1]
411it [19:00,  2.52s/it, bound:44 nc: 68 ncall:2.8e+04 eff:1.4% logz-ratio=-2330.63+/-0.10 dlogz:162.312>0.1]
434it [20:07,  2.63s/it, bound:46 nc: 61 ncall:3.0e+04 eff:1.5% logz-ratio=-2322.13+/-0.10 dlogz:153.244>0.1]
437it [20:21,  2.73s/it, bound:47 nc: 78 ncall:3.0e+04 eff:1.5% logz-ratio=-2321.64+/-0.03 dlogz:152.690>0.1]
457it [21:12,  2.67s/it, bound:49 nc: 78 ncall:3.2e+04 eff:1.4% logz-ratio=-2315.92+/-0.10 dlogz:147.157>0.1]
481it [22:05,  2.50s/it, bound:51 nc: 59 ncall:3.3e+04 eff:1.5% logz-ratio=-2310.82+/-0.10 dlogz:141.817>0.1]
504it [23:07,  2.57s/it, bound:54 nc: 62 ncall:3.4e+04 eff:1.5% logz-ratio=-2305.72+/-0.10 dlogz:136.706>0.1]
529it [25:49,  3.89s/it, bound:57 nc: 70 ncall:3.6e+04 eff:1.5% logz-ratio=-2300.73+/-0.10 dlogz:131.624>0.1]
553it [26:41,  3.35s/it, bound:63 nc:189 ncall:4.1e+04 eff:1.4% logz-ratio=-2296.38+/-0.10 dlogz:127.191>0.1]
577it [27:56,  3.27s/it, bound:65 nc: 62 ncall:4.2e+04 eff:1.4% logz-ratio=-2293.05+/-0.09 dlogz:123.871>0.1]
598it [29:14,  3.41s/it, bound:68 nc: 91 ncall:4.4e+04 eff:1.4% logz-ratio=-2288.56+/-0.10 dlogz:119.347>0.1]
621it [29:15,  2.37s/it, bound:71 nc: 90 ncall:4.6e+04 eff:1.3% logz-ratio=-2284.94+/-0.09 dlogz:115.605>0.1]
621it [29:34,  2.37s/it, bound:71 nc: 90 ncall:4.6e+04 eff:1.3% logz-ratio=-2284.94+/-0.09 dlogz:115.605>0.1]
622it [30:48,  4.07s/it, bound:71 nc: 90 ncall:4.6e+04 eff:1.3% logz-ratio=-2284.82+/-0.09 dlogz:115.479>0.1]
646it [32:33,  4.19s/it, bound:75 nc:112 ncall:4.9e+04 eff:1.3% logz-ratio=-2280.77+/-0.10 dlogz:111.426>0.1]
669it [34:02,  4.07s/it, bound:80 nc:125 ncall:5.2e+04 eff:1.3% logz-ratio=-2277.12+/-0.10 dlogz:107.691>0.1]
693it [35:18,  3.77s/it, bound:83 nc: 97 ncall:5.4e+04 eff:1.3% logz-ratio=-2274.30+/-0.09 dlogz:104.825>0.1]
718it [36:46,  3.68s/it, bound:87 nc: 85 ncall:5.6e+04 eff:1.3% logz-ratio=-2271.35+/-0.09 dlogz:101.817>0.1]
742it [38:20,  3.75s/it, bound:91 nc:103 ncall:5.9e+04 eff:1.3% logz-ratio=-2268.87+/-0.09 dlogz:99.254>0.1] 
749it [38:34,  3.55s/it, bound:92 nc:104 ncall:6.0e+04 eff:1.3% logz-ratio=-2268.32+/-0.03 dlogz:98.688>0.1]
1it [00:00, ?it/s]
1it [01:02, ?it/s, bound:1 nc:560 ncall:1.1e+03 eff:0.1% logz-ratio=-2962.72+/-0.12 dlogz:inf>0.1]
25it [01:53,  2.12s/it, bound:3 nc: 60 ncall:2.5e+03 eff:1.0% logz-ratio=-2653.11+/-0.12 dlogz:494.658>0.1]
49it [02:38,  1.99s/it, bound:5 nc: 56 ncall:3.8e+03 eff:1.3% logz-ratio=-2555.52+/-0.11 dlogz:381.665>0.1]
