
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc: 33 ncall:5.3e+02 eff:0.2% logz-ratio=-949.52+/-0.12 dlogz:inf>0.1]
2it [00:00,  7.39it/s, bound:0 nc: 13 ncall:5.5e+02 eff:0.4% logz-ratio=-909.72+/-0.12 dlogz:634.610>0.1]
5it [00:00,  9.96it/s, bound:0 nc: 19 ncall:5.8e+02 eff:0.9% logz-ratio=-847.83+/-0.12 dlogz:538.562>0.1]
8it [00:00, 14.03it/s, bound:0 nc:  8 ncall:6.1e+02 eff:1.3% logz-ratio=-794.81+/-0.12 dlogz:486.333>0.1]
11it [00:00, 15.02it/s, bound:0 nc:  8 ncall:6.2e+02 eff:1.8% logz-ratio=-775.78+/-0.12 dlogz:467.622>0.1]
13it [00:01, 12.51it/s, bound:0 nc:  8 ncall:6.4e+02 eff:2.0% logz-ratio=-771.06+/-0.11 dlogz:458.417>0.1]
15it [00:01, 10.33it/s, bound:0 nc: 35 ncall:6.8e+02 eff:2.2% logz-ratio=-734.06+/-0.12 dlogz:446.487>0.1]
17it [00:01,  9.10it/s, bound:0 nc: 44 ncall:7.4e+02 eff:2.3% logz-ratio=-716.40+/-0.12 dlogz:409.886>0.1]
18it [00:01,  7.58it/s, bound:0 nc: 40 ncall:7.8e+02 eff:2.3% logz-ratio=-709.95+/-0.12 dlogz:401.453>0.1]
19it [00:02,  7.49it/s, bound:0 nc: 26 ncall:8.1e+02 eff:2.4% logz-ratio=-707.22+/-0.11 dlogz:395.001>0.1]
21it [00:02,  9.09it/s, bound:0 nc: 12 ncall:8.3e+02 eff:2.5% logz-ratio=-686.16+/-0.12 dlogz:391.024>0.1]
23it [00:02,  9.62it/s, bound:0 nc: 18 ncall:8.5e+02 eff:2.7% logz-ratio=-674.90+/-0.12 dlogz:366.336>0.1]
25it [00:02,  7.73it/s, bound:0 nc: 17 ncall:9.0e+02 eff:2.8% logz-ratio=-672.05+/-0.11 dlogz:358.810>0.1]
27it [00:02,  8.55it/s, bound:0 nc: 15 ncall:9.1e+02 eff:3.0% logz-ratio=-663.81+/-0.12 dlogz:353.883>0.1]
29it [00:03,  8.06it/s, bound:0 nc: 49 ncall:9.7e+02 eff:3.0% logz-ratio=-659.36+/-0.11 dlogz:345.747>0.1]
30it [00:03,  7.89it/s, bound:0 nc: 21 ncall:9.9e+02 eff:3.0% logz-ratio=-657.93+/-0.11 dlogz:344.393>0.1]
31it [00:33,  6.38s/it, bound:1 nc: 45 ncall:1.0e+03 eff:3.0% logz-ratio=-650.98+/-0.12 dlogz:342.957>0.1]
54it [01:42,  3.43s/it, bound:2 nc: 33 ncall:1.8e+03 eff:3.0% logz-ratio=-613.66+/-0.11 dlogz:300.354>0.1]
77it [02:30,  2.69s/it, bound:4 nc: 70 ncall:3.4e+03 eff:2.3% logz-ratio=-585.72+/-0.11 dlogz:272.194>0.1]
99it [03:01,  2.13s/it, bound:6 nc: 51 ncall:4.5e+03 eff:2.2% logz-ratio=-569.15+/-0.10 dlogz:254.561>0.1]
123it [03:55,  2.19s/it, bound:7 nc: 32 ncall:5.3e+03 eff:2.3% logz-ratio=-553.53+/-0.10 dlogz:239.716>0.1]
147it [04:36,  2.00s/it, bound:10 nc: 58 ncall:6.7e+03 eff:2.2% logz-ratio=-538.37+/-0.10 dlogz:224.515>0.1]
169it [05:43,  2.34s/it, bound:11 nc: 42 ncall:7.6e+03 eff:2.2% logz-ratio=-527.94+/-0.10 dlogz:213.927>0.1]
192it [07:08,  2.79s/it, bound:14 nc: 90 ncall:9.3e+03 eff:2.1% logz-ratio=-517.43+/-0.10 dlogz:203.443>0.1]
215it [08:21,  2.91s/it, bound:17 nc: 90 ncall:1.1e+04 eff:1.9% logz-ratio=-508.73+/-0.10 dlogz:194.622>0.1]
239it [09:14,  2.68s/it, bound:20 nc: 78 ncall:1.3e+04 eff:1.8% logz-ratio=-501.95+/-0.09 dlogz:187.707>0.1]
264it [10:15,  2.61s/it, bound:22 nc: 52 ncall:1.5e+04 eff:1.8% logz-ratio=-493.96+/-0.10 dlogz:180.062>0.1]
266it [10:28,  2.74s/it, bound:22 nc: 67 ncall:1.5e+04 eff:1.8% logz-ratio=-492.87+/-0.07 dlogz:178.906>0.1]
288it [11:29,  2.75s/it, bound:25 nc: 67 ncall:1.6e+04 eff:1.8% logz-ratio=-484.82+/-0.09 dlogz:170.578>0.1]
313it [12:39,  2.77s/it, bound:27 nc: 59 ncall:1.8e+04 eff:1.8% logz-ratio=-477.72+/-0.10 dlogz:163.407>0.1]
335it [13:33,  2.67s/it, bound:30 nc: 75 ncall:1.9e+04 eff:1.7% logz-ratio=-472.12+/-0.09 dlogz:157.703>0.1]
358it [14:23,  2.52s/it, bound:32 nc: 57 ncall:2.1e+04 eff:1.7% logz-ratio=-466.80+/-0.09 dlogz:152.266>0.1]
381it [15:31,  2.65s/it, bound:34 nc: 53 ncall:2.2e+04 eff:1.7% logz-ratio=-461.60+/-0.09 dlogz:161.969>0.1]
405it [16:51,  2.87s/it, bound:36 nc: 73 ncall:2.4e+04 eff:1.7% logz-ratio=-453.80+/-0.10 dlogz:154.366>0.1]
429it [17:45,  2.68s/it, bound:39 nc: 80 ncall:2.5e+04 eff:1.7% logz-ratio=-446.45+/-0.10 dlogz:146.718>0.1]
452it [19:10,  2.99s/it, bound:41 nc: 54 ncall:2.7e+04 eff:1.7% logz-ratio=-439.45+/-0.10 dlogz:139.732>0.1]
475it [19:10,  2.09s/it, bound:44 nc: 90 ncall:2.9e+04 eff:1.7% logz-ratio=-435.46+/-0.04 dlogz:135.627>0.1]
475it [19:30,  2.09s/it, bound:44 nc: 90 ncall:2.9e+04 eff:1.7% logz-ratio=-435.46+/-0.04 dlogz:135.627>0.1]
476it [20:31,  3.53s/it, bound:45 nc: 90 ncall:2.9e+04 eff:1.6% logz-ratio=-435.29+/-0.05 dlogz:135.442>0.1]
500it [21:13,  2.84s/it, bound:48 nc: 87 ncall:3.1e+04 eff:1.6% logz-ratio=-431.46+/-0.09 dlogz:131.563>0.1]
523it [22:04,  2.63s/it, bound:49 nc: 42 ncall:3.2e+04 eff:1.6% logz-ratio=-427.02+/-0.10 dlogz:127.070>0.1]
545it [22:55,  2.53s/it, bound:51 nc: 54 ncall:3.3e+04 eff:1.6% logz-ratio=-422.74+/-0.10 dlogz:122.784>0.1]
569it [24:02,  2.61s/it, bound:53 nc: 53 ncall:3.4e+04 eff:1.7% logz-ratio=-419.32+/-0.09 dlogz:119.217>0.1]
594it [25:14,  2.71s/it, bound:56 nc: 75 ncall:3.6e+04 eff:1.7% logz-ratio=-415.70+/-0.10 dlogz:115.642>0.1]
617it [26:32,  2.91s/it, bound:59 nc: 75 ncall:3.8e+04 eff:1.6% logz-ratio=-412.27+/-0.09 dlogz:112.084>0.1]
642it [27:27,  2.68s/it, bound:62 nc: 76 ncall:4.0e+04 eff:1.6% logz-ratio=-408.97+/-0.09 dlogz:108.734>0.1]
666it [28:41,  2.80s/it, bound:64 nc: 56 ncall:4.1e+04 eff:1.6% logz-ratio=-405.92+/-0.09 dlogz:105.651>0.1]
689it [30:09,  3.10s/it, bound:67 nc: 78 ncall:4.3e+04 eff:1.6% logz-ratio=-403.56+/-0.09 dlogz:103.202>0.1]
691it [30:22,  3.23s/it, bound:67 nc: 91 ncall:4.3e+04 eff:1.6% logz-ratio=-403.38+/-0.03 dlogz:103.029>0.1]
713it [31:17,  2.96s/it, bound:70 nc: 91 ncall:4.5e+04 eff:1.6% logz-ratio=-401.06+/-0.09 dlogz:100.686>0.1]
737it [32:25,  2.93s/it, bound:72 nc: 54 ncall:4.6e+04 eff:1.6% logz-ratio=-398.25+/-0.10 dlogz:97.844>0.1] 
762it [33:47,  3.04s/it, bound:75 nc: 72 ncall:4.8e+04 eff:1.6% logz-ratio=-395.45+/-0.09 dlogz:94.941>0.1]
786it [34:59,  3.03s/it, bound:78 nc: 82 ncall:5.0e+04 eff:1.6% logz-ratio=-393.44+/-0.09 dlogz:92.892>0.1]
809it [36:21,  3.19s/it, bound:81 nc: 76 ncall:5.2e+04 eff:1.6% logz-ratio=-391.30+/-0.09 dlogz:90.702>0.1]
834it [37:23,  2.96s/it, bound:84 nc: 84 ncall:5.4e+04 eff:1.5% logz-ratio=-389.29+/-0.09 dlogz:88.639>0.1]
858it [38:20,  2.79s/it, bound:87 nc: 62 ncall:5.5e+04 eff:1.6% logz-ratio=-387.51+/-0.09 dlogz:86.821>0.1]
882it [39:50,  3.08s/it, bound:89 nc: 60 ncall:5.7e+04 eff:1.6% logz-ratio=-385.69+/-0.09 dlogz:84.925>0.1]
902it [39:50,  2.26s/it, bound:92 nc: 88 ncall:5.9e+04 eff:1.5% logz-ratio=-384.56+/-0.07 dlogz:83.752>0.1]
906it [40:10,  2.26s/it, bound:92 nc: 88 ncall:5.9e+04 eff:1.5% logz-ratio=-384.29+/-0.08 dlogz:83.498>0.1]
907it [40:49,  3.08s/it, bound:93 nc: 88 ncall:5.9e+04 eff:1.5% logz-ratio=-384.20+/-0.08 dlogz:83.412>0.1]
929it [42:22,  3.48s/it, bound:95 nc: 63 ncall:6.0e+04 eff:1.5% logz-ratio=-381.81+/-0.10 dlogz:83.811>0.1]
953it [43:50,  3.55s/it, bound:98 nc: 92 ncall:6.3e+04 eff:1.5% logz-ratio=-379.96+/-0.09 dlogz:81.887>0.1]
977it [45:13,  3.53s/it, bound:102 nc: 90 ncall:6.5e+04 eff:1.5% logz-ratio=-378.23+/-0.10 dlogz:80.122>0.1]
1002it [46:58,  3.75s/it, bound:105 nc: 81 ncall:6.7e+04 eff:1.5% logz-ratio=-376.83+/-0.09 dlogz:78.649>0.1]
1027it [47:57,  3.29s/it, bound:109 nc:104 ncall:6.9e+04 eff:1.5% logz-ratio=-374.99+/-0.10 dlogz:76.789>0.1]
1051it [49:02,  3.12s/it, bound:111 nc: 59 ncall:7.1e+04 eff:1.5% logz-ratio=-373.10+/-0.10 dlogz:74.830>0.1]
1056it [49:16,  3.10s/it, bound:112 nc: 67 ncall:7.1e+04 eff:1.5% logz-ratio=-372.82+/-0.02 dlogz:74.534>0.1]
