
1it [00:00, ?it/s]
3it [00:00, 14.22it/s, bound:0 nc:  6 ncall:5.3e+02 eff:0.6% logz-ratio=-706.21+/-0.12 dlogz:431.210>0.1]
6it [00:00, 18.93it/s, bound:0 nc:  2 ncall:5.4e+02 eff:1.1% logz-ratio=-661.21+/-0.12 dlogz:387.591>0.1]
9it [00:00, 20.17it/s, bound:0 nc: 17 ncall:5.6e+02 eff:1.6% logz-ratio=-652.74+/-0.11 dlogz:372.058>0.1]
12it [00:00, 20.77it/s, bound:0 nc: 10 ncall:5.8e+02 eff:2.1% logz-ratio=-647.92+/-0.10 dlogz:366.323>0.1]
15it [00:00, 21.12it/s, bound:0 nc:  8 ncall:6.1e+02 eff:2.5% logz-ratio=-633.88+/-0.11 dlogz:353.022>0.1]
18it [00:00, 21.26it/s, bound:0 nc:  7 ncall:6.3e+02 eff:2.8% logz-ratio=-626.72+/-0.11 dlogz:345.888>0.1]
21it [00:00, 21.42it/s, bound:0 nc:  2 ncall:6.6e+02 eff:3.2% logz-ratio=-620.98+/-0.11 dlogz:341.706>0.1]
24it [00:01, 21.30it/s, bound:0 nc: 21 ncall:6.9e+02 eff:3.5% logz-ratio=-603.85+/-0.12 dlogz:333.668>0.1]
27it [00:01, 21.30it/s, bound:0 nc:  5 ncall:7.2e+02 eff:3.7% logz-ratio=-594.50+/-0.12 dlogz:317.301>0.1]
30it [00:01, 21.34it/s, bound:0 nc:  5 ncall:7.6e+02 eff:4.0% logz-ratio=-583.80+/-0.11 dlogz:303.208>0.1]
33it [00:01, 21.48it/s, bound:0 nc:  6 ncall:7.8e+02 eff:4.3% logz-ratio=-580.88+/-0.10 dlogz:299.484>0.1]
36it [00:01, 19.68it/s, bound:0 nc:  7 ncall:8.0e+02 eff:4.5% logz-ratio=-576.68+/-0.11 dlogz:295.613>0.1]
39it [00:01, 20.25it/s, bound:0 nc: 14 ncall:8.2e+02 eff:4.8% logz-ratio=-572.28+/-0.11 dlogz:291.152>0.1]
42it [00:01, 20.31it/s, bound:0 nc: 25 ncall:8.7e+02 eff:4.8% logz-ratio=-569.72+/-0.10 dlogz:288.197>0.1]
45it [00:02, 18.86it/s, bound:0 nc:  4 ncall:9.1e+02 eff:5.0% logz-ratio=-567.62+/-0.10 dlogz:286.032>0.1]
